"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"The Real Estate Process","306
001","141","3.219","19.9","27.0","37.6","6.4","7.1","0.7",".","1.4",".",".",".",".",".",".",".","."
"Real Estate Law","312
001","40","3.275","27.5","15.0","45.0","10.0","2.5",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","410
001","44","3.318","29.5","25.0","27.3","15.9","2.3",".",".",".",".",".",".",".",".",".",".","."
"Valuation of Real Estate","415
001","35","3.286","31.4","22.9","22.9","17.1","5.7",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","420
001","31","3.516","41.9","32.3","16.1","6.5","3.2",".",".",".",".",".",".",".",".",".",".","."
"Community Economic Analysis","520
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","611
001","42","3.607","50.0","21.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cmptr Appl-Real Estate Anal","631
001","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Green-Sustainable Development","651
001","30","3.621","43.3","33.3","20.0",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"The Real Estate Process","706
001","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Techniques-Real Est Valuatn","715
001","31","3.484","25.8","51.6","16.1","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Equity Investmt","740
001","19","3.421","47.4","21.1","21.1",".","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"Commercial Proprty Devlpmnt","750
001","18","3.471","27.8","33.3","33.3",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","765
001","18","3.676","44.4","38.9","11.1",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","765
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
003","22","3.523","36.4","31.8","31.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","42","3.583","42.9","33.3","21.4",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"Rdg & Rsch-Urban Land Econ","799
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Urban Land Economics","875
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sem-Urban Land Econ PhD","977
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Real Estate","990
142","2","***","","","","","","","","","",".",".",".",".",".",".","."
"REAL EST
239","Dept. Total","537","3.438","38.2","25.0","26.1","5.6","3.0","0.4",".","1.1",".",".",".",".","0.7",".",".","."
