"LANDSCAPE ARCHITECTURE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","","","",""
"History of Landscape Arch","260","001","","40","3.403","37.5","17.5","22.5","5.0","7.5",".",".","7.5",".",".",".",".",".",".","2.5","."
"Landscape Invntry&Eval Meth","262","001","","36","3.528","38.9","33.3","25.0",".","2.8",".",".",".",".",".",".",".",".",".",".","."
"Land Arc Workshop","270","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","299","008","","15","3.540","33.3","46.7","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","312","001","","14","3.607","35.7","50.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312","002","","20","3.550","30.0","55.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Graphics for Designers","","Course Total","","34","3.574","32.4","52.9","11.8","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Housing and Urban Design","351","001","","21","3.472","19.0","42.9","23.8",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Landscape Arch Technology I","353","001","","21","3.571","47.6","38.1","9.5",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"Sustainabl Residntl Constructn","356","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Wetlands Ecology","361","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","375","001","","11","3.500","36.4","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".","9.1",".","."
"","375","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","18","3.694","61.1","22.2","5.6","5.6",".",".",".",".",".",".",".",".",".","5.6",".","."
"","399","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Open Space Planning&Design","451","001","","22","3.175","13.6","27.3","31.8","13.6","4.5",".",".",".",".",".",".",".","9.1",".",".","."
"Evolution-American Planning","463","001","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Project in Land Arc","551","001","","23","3.452","34.8","17.4","34.8","4.3",".",".",".",".",".",".",".",".","8.7",".",".","."
"Remote Sensing Digitl Image","556","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Plant Commun Restoratn&Mgmt","651","001","","9","3.813","66.7","11.1","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Cult Rsrce Presrv&Lndsc Hst","677","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","","11","3.818","90.9",".",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","699","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems-Land Arch","","Course Total","","18","3.923","94.4",".",".",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Crit Inquiry-Landscape Dsgn","720","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","8","",".",".",".",".",".",".",".","87.5",".",".",".","12.5",".",".",".","."
"Independent Studies","999","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
