"COMPARATIVE LITERATURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"260
COMP LIT","","","","","","","","","","","","","","","","","","","",""
"Intro Cross-Cultrl Lit Form","203
001","","210","3.342","10.0","61.4","12.4","11.4","1.0","0.5",".","2.4",".",".",".",".","1.0",".",".","."
"Race & Ethnicity-In&Beyond US","205
001","","189","3.183","9.5","38.1","38.1","9.5","1.6","0.5","1.1","0.5",".",".",".",".","1.1",".",".","."
"Problems in Genre and Mode","358
001","","10","3.688","70.0",".","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit & Ethnic Experience","379
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","473
001","","19","3.694","78.9","5.3","5.3",".",".",".","5.3",".",".",".",".",".","5.3",".",".","."
"","473
002","","10","3.000","40.0",".","30.0",".","10.0",".","10.0",".",".",".",".",".","10.0",".",".","."
"Thematics","Course Total","","29","3.463","65.5","3.4","13.8",".","3.4",".","6.9",".",".",".",".",".","6.9",".",".","."
"","475
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","475
002","","13","3.808","76.9","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Poetics and Literary Theory","Course Total","","18","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literary Criticism","771
001","","14","3.833","64.3","14.3","7.1",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Lit & Related Disciplines","775
001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Independent Work","999
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"COMP LIT
260","Dept. Total","","492","3.344","20.7","42.3","22.2","8.5","1.2","0.4","0.8","2.2",".",".",".","0.4","1.2",".",".","."
