"PHYSIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","",""
"335
Physiology","001","","401","3.045","34.4","5.2","33.2","3.2","17.5","5.2","1.0","0.2",".",".",".",".",".",".",".","."
"524
Neurobi II:Intr-Brain&Behav","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"611
Systems Neuroscience","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"630
Neuronal Mech-Sensatn & Memory","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"675","007","","25","3.458","32.0","32.0","28.0",".","4.0",".",".",".",".",".",".",".","4.0",".",".","."
"675","008","","25","3.940","88.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","009","","25","3.440","20.0","72.0","4.0",".",".",".","4.0",".",".",".",".",".",".",".",".","."
"Selected Topics-Physiology","Course Total","","75","3.615","46.7","38.7","10.7",".","1.3",".","1.3",".",".",".",".",".","1.3",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","35","3.943","94.3",".","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"720
Prin of Human Physiology","001","","170","",".",".",".",".",".",".",".","99.4",".",".",".",".",".",".",".","0.6"
"820
Biotechnology Operations","001","","25","3.620","24.0","76.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"824
Molecular Technologies II","001","","25","3.920","84.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","9","",".",".",".",".",".",".",".","88.9",".",".",".",".","11.1",".",".","."
"990","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","069","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","081","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","37","",".",".",".",".",".",".",".","97.3",".",".",".",".","2.7",".",".","."
