"COMMUNICATION ARTS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"615","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"615","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"615","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"615","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"615","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Secnd Fld Exp-Communication","Course Total","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"616
Mass Media and Youth","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"617
Hlth Communication-Info Age","001","","16","3.438","31.3","43.8","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"659
Adv Motion Pic Prod Wkshp","001","","12","3.583","50.0","25.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"662
Media and Cultural Theory I","001","","22","3.455","31.8","36.4","22.7","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"665
Contemporary Film Theory","001","","11","3.545","45.5","27.3","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"682","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"698
Directed Study","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","33","3.921","84.8","9.1","3.0",".",".",".",".",".",".",".",".",".","3.0",".",".","."
"760
Advances-Communicatn Theories","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"902
Film Colloquium","001","","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"903
Media&Cultural Studies Colloq","001","","11","4.000","9.1",".",".",".",".",".",".","90.9",".",".",".",".",".",".",".","."
"904
Communicatn Science Colloq","001","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"905
Rhetoric Colloquium","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"950
Smr-Radio-Tv-Film","001","","13","3.875","69.2","23.1",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"960
Seminar in Film Theory","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"967
Probs-Com & Public Address","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"970
Seminar-Communication Science","001","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"976
Seminar-Rhetorical Criticism","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","Page 183 of 413",""
