"ITALIAN (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"","101
001","17","3.588","76.5","11.8",".",".","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","003
101","19","3.763","68.4","21.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","101
004","18","3.694","61.1","22.2","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","101
005","13","2.962","15.4","15.4","53.8","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"","101
008","20","3.395","35.0","20.0","30.0","5.0","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"","101
010","14","3.286","42.9","28.6","14.3",".","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"","101
012","15","3.536","26.7","53.3","6.7","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","116","3.487","48.3","24.1","16.4","4.3","2.6",".","2.6","1.7",".",".",".",".",".",".",".","."
"","102
003","23","3.848","73.9","21.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","24","3.813","70.8","20.8","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","25","3.840","72.0","24.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
008","23","3.543","34.8","39.1","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
010","20","3.575","40.0","35.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
012","23","3.696","47.8","43.5","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
014","10","3.450","40.0","10.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","015
102","14","3.571","64.3","14.3","7.1",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","162","3.694","56.8","27.8","14.2",".","1.2",".",".",".",".",".",".",".",".",".",".","."
"","201
002","18","3.794","72.2","11.1","5.6","5.6",".",".",".","5.6",".",".",".",".",".",".",".","."
"","201
003","17","3.824","64.7","35.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ital-Speakrs of Romanc Lang","Course Total","35","3.809","68.6","22.9","2.9","2.9",".",".",".","2.9",".",".",".",".",".",".",".","."
"","203
002","16","3.100","37.5","18.8","12.5","12.5",".","6.3","6.3","6.3",".",".",".",".",".",".",".","."
"","203
003","20","3.300","45.0","20.0","15.0",".","15.0","5.0",".",".",".",".",".",".",".",".",".","."
"","203
004","19","3.211","26.3","10.5","47.4","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","55","3.213","36.4","16.4","25.5","7.3","7.3","3.6","1.8","1.8",".",".",".",".",".",".",".","."
"","204
001","20","3.816","70.0","20.0",".","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"","204
002","16","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Italian","Course Total","36","3.829","69.4","25.0",".","2.8",".",".",".","2.8",".",".",".",".",".",".",".","."
"Directed Study","299
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Compostn&Converstn","312
001","22","3.636","54.5","22.7","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Italian Literature","322
001","21","3.400","47.6","19.0","9.5","9.5","4.8","4.8",".","4.8",".",".",".",".",".",".",".","."
"Intro to Romance Languages","429
001","17","3.781","64.7","17.6","11.8",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Topics: Ital Culture,Film,Lang","452
002","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lineamenti Di Lett Italiana","632
001","14","4.000","71.4",".",".",".",".",".",".","7.1",".",".",".",".","14.3",".","7.1","."
"Il Duecento","672
001","13","4.000","84.6",".",".",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"","699
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Smr-Studies in Italian Lit","952
001","10","4.000","70.0",".",".",".",".",".",".",".",".",".",".",".","30.0",".",".","."
"","990
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","Page 235 of 413",""
