"CIVIL AND ENVIRONMENTAL EN Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","",""
"990","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","20","",".",".",".",".",".",".",".","60.0",".",".",".","40.0",".",".",".","."
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","061","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"999","062","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","069","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","073","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","16","4.000","56.3",".",".",".",".",".",".","25.0",".",".",".","12.5","6.3",".",".","."
