"Adv Topc-Chicana/o&Latina/o St","Course Total","19","3.898","89.5",".",".","5.3",".",".","",".",".","",".",".","",".","",".","5.3",".",".","."
"","699
003","2","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
004","2","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Directed Study","Course Total","4","***","","","","","","","","","","","","","","","","","","","",""
"CHICLA
228","Dept. Total","141","3.340","36.9","26.2","22.7","5.7","5.7","1.4","",".","0.7","",".",".","",".","",".","0.7",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","10","3.135","10.0","30.0","50.0",".","10.0",".","",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","47","3.135","21.3","34.0","23.4","8.5","8.5","4.3","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","21","3.342","33.3","19.0","38.1","4.8","4.8",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","61","3.542","52.5","23.0","13.1","4.9","3.3",".","",".","1.6","",".",".","",".","",".","1.6",".",".","."
"Undergraduates","","139","3.332","36.0","26.6","23.0","5.8","5.8","1.4","",".","0.7","",".",".","",".","",".","0.7",".",".","."
"Graduate","","2","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","141","3.340","36.9","26.2","22.7","5.7","5.7","1.4","",".","0.7","",".",".","",".","",".","0.7",".",".","."
