"","999
068","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
085","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","8","4.000","25.0",".",".",".",".",".",".","50.0",".",".",".","25.0",".",".",".","."
"ENGLISH
350","Dept. Total","4772","3.517","41.2","24.8","15.4","3.8","2.3","0.6","0.6","1.8","0.1","7.4","0.5","1.0","0.4","0.1","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"Freshmen","","807","3.495","34.1","30.4","17.0","4.1","1.9","0.2","0.4",".",".","10.4","1.1",".","0.1","0.2",".","0.1"
"Sophomore","","1102","3.479","42.5","26.8","17.8","3.3","2.5","0.7","1.3",".",".","4.3","0.6",".","0.2",".",".","0.1"
"Junior","","1129","3.464","40.0","28.7","18.0","5.1","2.8","0.9","0.6","0.1",".","3.1","0.2","0.1","0.4",".",".","."
"Senior","","1209","3.545","47.2","23.0","15.9","4.4","2.6","0.5","0.2","0.7",".","4.5","0.1","0.2","0.6","0.1",".","."
"Undergraduates","","4247","3.496","41.6","26.9","17.1","4.2","2.5","0.6","0.6","0.2",".","5.2","0.4","0.1","0.3","0.1",".","0.0"
"Special","","109","3.684","22.0","12.8","2.8","0.9","0.9",".",".","9.2",".","42.2","4.6",".","0.9","1.8","1.8","."
"Graduate","","416","3.886","41.8","6.5","0.5","0.2",".","0.2","0.2","15.4","1.0","21.4","0.2","11.3","1.0",".","0.2","."
"","Dept. Total","4772","3.517","41.2","24.8","15.4","3.8","2.3","0.6","0.6","1.8","0.1","7.4","0.5","1.0","0.4","0.1","0.1","0.0"
