"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","",""
"","100
001","10","3.350","20.0","40.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","10","2.556",".","60.0",".",".",".","20.0","10.0","10.0",".",".",".",".",".",".",".","."
"","100
003","13","3.269","23.1","46.2","7.7","7.7","15.4",".",".",".",".",".",".",".",".",".",".","."
"","100
004","12","3.250","25.0","25.0","33.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100
007","13","2.846","23.1","15.4","15.4","30.8","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"","100
008","12","2.542","8.3","33.3","16.7","8.3","16.7",".","16.7",".",".",".",".",".",".",".",".","."
"","100
009","13","3.231",".","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
010","9","3.000",".","44.4","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"","100
011","12","3.250","16.7","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
012","13","3.308","7.7","61.5","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100
015","12","3.375","33.3","16.7","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","016
100","12","3.333","8.3","66.7","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
017","12","3.167","16.7","33.3","25.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100
020","9","3.389","11.1","55.6","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
021","12","3.250","16.7","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
025","12","3.208","8.3","50.0","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100
029","12","2.889","8.3","33.3",".","16.7","8.3","8.3",".",".",".",".",".",".",".","25.0",".","."
"","100
030","9","3.438","22.2","33.3","33.3",".",".",".",".",".",".",".",".",".",".","11.1",".","."
"","100
031","11","3.409","18.2","63.6",".","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","100
032","13","3.250","7.7","53.8","15.4","7.7","7.7",".",".",".",".",".",".",".",".","7.7",".","."
"","100
033","11","3.409","27.3","45.5","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","100
034","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
035","13","3.423","23.1","38.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
036","11","3.364","27.3","27.3","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
037","12","3.625","41.7","50.0",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
038","11","3.318","9.1","54.5","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
039","11","3.682","63.6","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
040","11","2.773",".","27.3","45.5","18.2",".",".","9.1",".",".",".",".",".",".",".",".","."
"","100
041","12","3.708","66.7","8.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
042","10","3.350","10.0","50.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","Course Total","344","3.257","19.8","40.1","22.7","9.9","3.5","0.9","1.5","0.3",".",".",".",".",".","1.5",".","."
"","105
001","14","3.393","14.3","50.0","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
002","14","3.321","14.3","50.0","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","105
003","16","3.281","18.8","43.8","18.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","105
004","17","3.500","35.3","47.1","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","105
005","20","3.368","30.0","35.0","15.0","5.0","10.0",".",".","5.0",".",".",".",".",".",".",".","."
"","105
006","14","3.115","21.4","7.1","57.1",".",".","7.1",".","7.1",".",".",".",".",".",".",".","."
"Public Speaking","Course Total","95","3.339","23.2","38.9","24.2","6.3","4.2","1.1",".","2.1",".",".",".",".",".",".",".","."
"Radio,TV&Film as Mass Media","250
001","237","3.553","38.0","39.7","16.5","5.5",".",".",".",".",".",".",".",".",".",".",".","0.4"
"Communication & Human Behav","260
001","227","3.348","24.2","42.7","19.4","8.4","4.4","0.4","0.4",".",".",".",".",".",".",".",".","."
"Thry&Pract-Argument&Debate","262
001","106","3.357","29.2","34.9","20.8","11.3","0.9","0.9","0.9","0.9",".",".",".",".",".",".",".","."
"Thry&Pract-Group Discussion","266
001","87","3.425","37.9","31.0","19.5","5.7","3.4","2.3",".",".",".",".",".",".",".",".",".","."
"Intro-Interpersonal Com","272
001","96","3.058","19.8","27.1","27.1","9.4","10.4","3.1","2.1","1.0",".",".",".",".",".",".",".","."
"Mass Media & Human Behavior","325
001","116","2.983","14.7","23.3","34.5","12.9","8.6","2.6","2.6",".",".",".",".",".","0.9",".",".","."
"Critical Internet Studies","346
001","93","3.349","28.0","36.6","23.7","5.4","5.4",".","1.1",".",".",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","Page 181 of 413",""
