"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"Black Music Ensemble","266
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
004","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
006","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Brass","Course Total","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
001","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Percussion","Course Total","23","3.957","95.7",".","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-String","Course Total","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Guitar","270
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","272
101","7","3.286","14.3","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","272
102","8","3.438","25.0","37.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","272
103","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","272
104","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 4","Course Total","30","3.517","30.0","46.7","20.0","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Bl Mus-Voc/Tromb/Misc Instr","309
001","12","4.000","91.7",".",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Topics in Music & Ethnicity-US","319
001","81","3.345","21.0","37.0","19.8","11.1","2.5",".",".","6.2",".",".",".",".",".","2.5",".","."
"Jazz Improvisation","332
001","10","4.000","80.0",".",".",".",".",".",".","10.0",".",".",".",".","10.0",".",".","."
"Pedagogy","340
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-String Pedagogy","345
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","346
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Repertoire","Course Total","8","3.929","75.0","12.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","361
001","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Non-Western Music Performnc","Course Total","29","3.966","96.6",".","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wind Ensemble","40
001","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Music of S.E. Asia","404
001","17","3.265","29.4","23.5","29.4","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"Concert Band","41
001","50","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey Music-Renaissance","412
001","21","3.476","47.6","23.8","14.3","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"Survey Music-Classic Era","414
001","22","3.409","45.5","9.1","31.8","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"Varsity Band","42
001","263","4.000","99.6",".",".",".",".",".",".",".",".",".",".",".",".",".","0.4","."
"","43
001","106","3.906","84.9","11.3","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","43
002","101","3.975","96.0","3.0","1.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","43
003","106","4.000","99.1",".",".",".",".",".",".","0.9",".",".",".",".",".",".",".","."
