"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"NEUROSCI","","","","","","","","","","","","","","","","","","","",""
"Sophomore","4","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","25","3.548","68.0","4.0","20.0",".",".",".","4.0",".","",".",".","",".","4.0",".",".",".","."
"Senior","211","3.619","67.8","14.7","12.3","1.4","1.4","1.4","0.9",".","",".",".","",".",".",".",".",".","."
"Undergraduates","240","3.617","68.3","13.3","12.9","1.3","1.3","1.3","1.3",".","",".",".","",".","0.4",".",".",".","."
"Special","3","2.400",".",".","33.3",".","33.3",".",".",".","",".",".","",".",".","33.3",".",".","."
"Graduate","163","3.543","16.0","7.4","6.7","0.6","0.6",".",".","62.6","",".",".","",".","6.1",".",".",".","."
"Prof Yr 1","3","4.000","33.3",".",".",".",".",".",".","66.7","",".",".","",".",".",".",".",".","."
"Prof Yr 3","13","3.763","46.2","7.7","7.7",".",".",".",".","38.5","",".",".","",".",".",".",".",".","."
"Prof Yr 4","5","",".",".",".",".",".",".",".","80.0","",".",".","",".","20.0",".",".",".","."
"Professionals","21","3.795","33.3","4.8","4.8",".",".",".",".","52.4","",".",".","",".","4.8",".",".",".","."
