"MEDICAL MICROBIOL & IMMUNO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","",""
"341
Immunology","001","","161","3.769","78.9","6.2","8.7","2.5","1.9","1.2",".","0.6",".",".",".",".",".",".",".","."
"350
Parasitology","001","","115","3.070","24.3","7.0","48.7","5.2","11.3","3.5",".",".",".",".",".",".",".",".",".","."
"351
Parasitology Laboratory","001","","18","3.222","22.2","27.8","33.3","5.6","11.1",".",".",".",".",".",".",".",".",".",".","."
"410
Medical Mycology","001","","57","3.518","40.4","31.6","19.3","8.8",".",".",".",".",".",".",".",".",".",".",".","."
"412
Medical Mycology Laboratory","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"529
Immunology Laboratory","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"575
Biology of Viruses","001","","82","3.549","54.9","14.6","22.0","4.9","2.4","1.2",".",".",".",".",".",".",".",".",".","."
"603
Clinicl&Pub Hlth Microbiol","001","","15","3.233","26.7","13.3","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"677","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"677","014","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"677","017","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"677","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Topics-Medicl Microbiol","Course Total","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"682","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","39","3.955","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"750
Vertebrate Viral Disease","001","","9","3.500","55.6","11.1","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"773
Eukaryotic Microb Pathogenesis","001","","10","3.450","20.0","60.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"900","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","Page 347 of 413",""
