"","999
055","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
057","16","3.958","75.0","6.3",".",".","",".",".","",".",".",".",".",".","","18.8",".",".",".","."
"","999
061","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
062","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Reading","Course Total","51","3.911","64.7","7.8","5.9","2.0","",".","",".",".","2.0",".",".","",".","5.9","9.8",".","2.0","."
"ELPA
305","Dept. Total","499","3.872","59.5","11.2","2.0","0.4","",".","",".","0.4","18.0","0.4",".","",".","1.8","5.6",".","0.6","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","6","3.550","33.3","16.7","16.7",".","",".","",".",".",".",".",".","",".",".","16.7",".","16.7","."
"Undergraduates","","6","3.550","33.3","16.7","16.7",".","",".","",".",".",".",".",".","",".",".","16.7",".","16.7","."
"Special","","20","3.882","65.0","20.0",".",".","",".","",".",".","5.0",".",".","",".",".","10.0",".",".","."
"Graduate","","471","3.879","59.0","9.8","1.9","0.4","",".","",".","0.4","18.9","0.4","1.5","",".","1.9","5.3",".","0.4","."
"Prof Yr 2","","4","3.750","50.0","50.0",".",".","",".","",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 3","","5","3.654","40.0","60.0",".",".","",".","",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","9","3.700","44.4","55.6",".",".","",".","",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","506","3.872","58.7","11.1","2.0","0.4","",".","",".","0.4","17.8","0.4","1.4","",".","1.8","5.5",".","0.6","."
