"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Intro-Internatl Relations","103","001","417","3.080","17.0","24.9","31.9","13.4","10.1","1.7","0.5","0.2",".",".",".",".",".","0.2",".","."
"","104","001","344","2.923","10.2","21.8","29.9","25.6","9.6","1.5","1.2",".",".",".",".",".","0.3",".",".","."
"","104","002","283","2.803","13.8","18.7","24.7","16.3","17.7","8.5",".","0.4",".",".",".",".",".",".",".","."
"Intro-Amer Politcs&Governmt","","Course Total","627","2.869","11.8","20.4","27.6","21.4","13.2","4.6","0.6","0.2",".",".",".",".","0.2",".",".","."
"Intro-Comparative Politics","106","001","160","2.991","19.4","24.4","21.3","10.0","20.0","3.8",".",".",".",".",".",".",".",".","1.3","."
"Topics in Polit Anal-Honors","181","001","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Comp Politics(Honors)","186","001","18","3.588","33.3","44.4","16.7",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Intro to Political Theory","209","001","135","3.182","25.2","31.9","20.0","8.1","7.4","3.7","1.5","2.2",".",".",".",".",".",".",".","."
"Law, Politics and Society","217","001","41","2.756","7.3","24.4","12.2","29.3","24.4","2.4",".",".",".",".",".",".",".",".",".","."
"Understndng Politcl Numbers","218","001","52","3.462","44.2","21.2","28.8","1.9",".","3.8",".",".",".",".",".",".",".",".",".","."
"Intro to Public Policy","219","001","87","3.134","12.6","32.2","31.0","11.5","4.6","1.1","1.1","1.1",".",".",".",".","1.1","3.4",".","."
"Intro to East Asian Civ","222","001","25","3.620","60.0","20.0","12.0",".","8.0",".",".",".",".",".",".",".",".",".",".","."
"Politcs:Multi-Cultural Soc","231","001","95","2.995","17.9","23.2","31.6","11.6","10.5","2.1","3.2",".",".",".",".",".",".",".",".","."
"Eastern Europe:Interdis Survey","254","001","19","3.632","52.6","21.1","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Political Choice and Strategy","274","001","66","2.871","15.2","22.7","22.7","21.2","10.6","4.5","3.0",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","45","3.333","33.3","24.4","17.8","15.6",".",".","2.2","6.7",".",".",".",".",".",".",".","."
"Prin-International Law","316","001","137","2.920","12.4","27.0","23.4","18.2","13.9","4.4","0.7",".",".",".",".",".",".",".",".","."
"The Politics of Human Rights","317","001","61","2.689","6.6","29.5","23.0","13.1","16.4","4.9","6.6",".",".",".",".",".",".",".",".","."
"","346","001","88","2.976","15.9","15.9","34.1","18.2","8.0","1.1","2.3","1.1",".",".",".",".","3.4",".",".","."
"","346","002","16","3.656","50.0","31.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"China in World Politics","","Course Total","104","3.114","21.2","18.3","31.7","15.4","6.7","1.0","1.9","1.0",".",".",".",".","2.9",".",".","."
"Probs-Amer Foreign Policy","359","001","23","3.643","43.5","30.4","17.4",".",".",".",".",".",".",".",".",".",".",".","8.7","."
"Anal of Internatl Relations","376","001","63","3.040","34.9","15.9","19.0","7.9","14.3","3.2","4.8",".",".",".",".",".",".",".",".","."
