"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","100
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","17","3.933","76.5","11.8",".",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"Introduction to Art","Course Total","36","3.971","88.9","5.6",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","102
001","17","3.618","35.3","52.9","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
102","16","3.656","50.0","37.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","15","3.433","46.7","13.3","26.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","102
004","19","3.167","15.8","42.1","15.8","10.5","5.3","5.3",".","5.3",".",".",".",".",".",".",".","."
"","102
005","19","3.868","78.9","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Two-Dimensional Design","Course Total","102","3.599","50.0","30.4","11.8","3.9","2.0","1.0",".","1.0",".",".",".",".",".",".",".","."
"","104
001","13","3.654","30.8","69.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
002","13","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
104","9","2.944","22.2","33.3","11.1",".","22.2","11.1",".",".",".",".",".",".",".",".",".","."
"","004
104","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
005","13","3.500","38.5","38.5","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Three-Dimensional Design","Course Total","64","3.602","50.0","35.9","7.8",".","4.7","1.6",".",".",".",".",".",".",".",".",".","."
"","112
001","17","3.353","23.5","41.2","23.5","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","112
002","19","3.444","31.6","36.8","15.8","5.3","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"","112
003","19","3.474","52.6","26.3","10.5","5.3",".",".","5.3",".",".",".",".",".",".",".",".","."
"","112
004","18","3.361","44.4","22.2","22.2","5.6",".",".","5.6",".",".",".",".",".",".",".",".","."
"","112
005","20","3.550","30.0","60.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","112
006","17","3.529","29.4","47.1","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
007","19","3.368","15.8","42.1","42.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
008","16","3.107","6.3","43.8","25.0",".","6.3","6.3",".","12.5",".",".",".",".",".",".",".","."
"Drawing I","Course Total","145","3.408","29.7","40.0","20.7","2.8","2.8","0.7","1.4","2.1",".",".",".",".",".",".",".","."
"Current Directions in Art","208
001","120","3.065","16.7","37.5","20.0","8.3","5.8","3.3","4.2","1.7",".",".",".",".","1.7",".","0.8","."
"","212
001","13","3.769","76.9","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","212
002","15","3.433","80.0",".",".","6.7",".","6.7","6.7",".",".",".",".",".",".",".",".","."
"","212
003","15","3.533","33.3","53.3",".","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","212
004","17","3.353","23.5","47.1","11.8","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"Drawing II","Course Total","60","3.508","51.7","28.3","5.0","10.0","1.7","1.7","1.7",".",".",".",".",".",".",".",".","."
"","214
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
214","12","3.674","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sculpture I","Course Total","21","3.823","66.7","28.6","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
001","14","3.527","28.6","57.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","222
002","16","3.722","43.8","56.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
003","14","3.969","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Painting","Course Total","44","3.729","54.5","40.9","2.3","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"","224
001","14","3.648","64.3","7.1","14.3",".","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"","224
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
003","9","3.781","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ceramics I","Course Total","35","3.809","80.0","2.9","11.4",".","2.9",".",".","2.9",".",".",".",".",".",".",".","."
"Textile Design: Off-Loom","226
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","232
001","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
