"ELECTRICAL AND COMPUTER E Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"Electronic Circuits I","340","001","41","2.695","17.1","14.6","29.3","7.3","14.6","14.6","2.4",".",".",".",".",".",".",".",".","."
"Electronic Circuits II","342","001","41","2.780","19.5","7.3","41.5","12.2","4.9","9.8","4.9",".",".",".",".",".",".",".",".","."
"","352","001","34","2.985","23.5","29.4","11.8","14.7","11.8","5.9","2.9",".",".",".",".",".",".",".",".","."
"","352","002","21","2.143","14.3","9.5",".","19.0","23.8","28.6","4.8",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","","Course Total","55","2.664","20.0","21.8","7.3","16.4","16.4","14.5","3.6",".",".",".",".",".",".",".",".","."
"Intro to Microprocessor Sys","353","001","26","2.654","26.9","3.8","15.4","11.5","26.9","15.4",".",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","354","001","20","3.350","35.0","30.0","20.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"","355","001","22","2.905","27.3","13.6","27.3","13.6",".","4.5","9.1",".",".",".",".",".","4.5",".",".","."
"","355","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Electromech Energy Conversn","","Course Total","23","2.955","30.4","13.0","26.1","13.0",".","4.3","8.7",".",".",".",".",".","4.3",".",".","."
"","370","002","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370","003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","370","004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Laboratory","","Course Total","25","3.920","84.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electricl&Electronc Circuit","376","001","140","3.079","19.3","13.6","46.4","7.9","12.1",".","0.7",".",".",".",".",".",".",".",".","."
"","377","001","90","2.848","22.2","15.6","20.0","16.7","12.2","12.2",".",".",".",".",".",".","1.1",".",".","."
"","377","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elec&Elec-mech Power Conver","","Course Total","91","2.856","22.0","16.5","19.8","16.5","12.1","12.1",".",".",".",".",".",".","1.1",".",".","."
"Topics-Elect&Computer Engr","379","001","7","3.864","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","072","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","8","3.933","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","412","001","44","2.886","27.3",".","45.5",".","20.5","2.3","4.5",".",".",".",".",".",".",".",".","."
"","412","003","9","3.500","44.4",".","44.4",".",".",".",".",".",".",".",".",".",".",".","11.1","."
"Power Electronic Circuits","","Course Total","53","2.981","30.2",".","45.3",".","17.0","1.9","3.8",".",".",".",".",".",".",".","1.9","."
"Electromag Wave Transmissn","420","001","19","3.368","21.1","42.1","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Photonics","434","001","23","3.109","26.1","17.4","21.7","21.7","13.0",".",".",".",".",".",".",".",".",".",".","."
"Communication Systems II","437","001","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Semiconductr Physics&Device","445","001","25","3.320","24.0","44.0","16.0","4.0","12.0",".",".",".",".",".",".",".",".",".",".","."
"Embedded Microproc System Dsgn","453","001","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electronics of Solids","466","001","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Design Project","491","037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elec Mach&Drive Systm Lab","504","001","10","3.750","40.0","40.0",".",".",".",".",".","10.0",".",".",".",".","10.0",".",".","."
"","511","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","511","003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Synchronous Machines","","Course Total","6","3.250","16.7","16.7","16.7","16.7",".",".",".",".",".",".",".",".","16.7",".","16.7","."
"Introduction to Plasmas","525","001","6","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Communication Networks","537","001","22","3.409","36.4","18.2","40.9",".","4.5",".",".",".",".",".",".",".",".",".",".","."
