"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","","38","3.919","84.2","10.5","2.6",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"Introduction-Social Policy","206
001","","152","3.745","63.8","25.7","5.9","2.6","1.3",".",".","0.7",".",".",".",".",".",".",".","."
"","401
002","","8","3.811","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
004","","17","3.960","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
006","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
007","","7","3.767","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
008","","7","3.781","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
009","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
010","","14","3.963","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
011","","9","3.875","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Pract/Integrat Smr II","Course Total","","92","3.923","87.0","10.9","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
001","","25","3.940","88.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
002","","23","3.826","65.2","34.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
003","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
004","","24","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prac III: Generalist-Comm&Orgs","Course Total","","91","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol & Other Drug Abuse","453
001","","218","3.355","25.2","38.5","21.1","8.3","2.3","0.5","0.9","3.2",".",".",".",".",".",".",".","."
"Small Groups-Soc Work Pract","454
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Behavior & Environmnt","457
001","","102","3.618","52.0","34.3","9.8","1.0",".","2.0","1.0",".",".",".",".",".",".",".",".","."
"Child Welfare","462
001","","30","3.400","36.7","33.3","13.3","13.3",".","3.3",".",".",".",".",".",".",".",".",".","."
"African American Families","521
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Social Policy","606
001","","37","3.811","67.6","27.0","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Wrk with Small Group","624
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
001","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
002","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
003","","15","3.367","66.7","6.7","13.3",".",".","6.7","6.7",".",".",".",".",".",".",".",".","."
"","640
004","","17","3.765","58.8","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic and Racial Groups","Course Total","","66","3.780","78.8","13.6","4.5",".",".","1.5","1.5",".",".",".",".",".",".",".",".","."
"","644
001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
002","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Work & Devel Disabilities","Course Total","","24","3.896","83.3","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods-Social Wrk Research","650
001","","92","3.234","27.2","29.3","22.8","10.9","7.6","1.1","1.1",".",".",".",".",".",".",".",".","."
"","656
001","","16","3.697","56.3","25.0","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","656
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","656
003","","8","3.625","25.0","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fam Prac-Foster & Kinship Care","Course Total","","27","3.636","44.4","37.0","18.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intl Aspects of Social Work","659
001","","27","3.851","74.1","18.5","3.7",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"Topics-Contemp Soc Welfare","672
001","","19","3.658","42.1","47.4","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682
028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
