"MEDICAL SCIENCES - VET MED","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","",""
"570
Animal Hlth Hist Restraint","001","","73","4.000","1.4",".",".",".",".",".",".","98.6",".",".",".",".",".",".",".","."
"625
Vet Diag&Therapeut Techniq","001","","83","4.000","96.4",".",".",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"629
Veterinary Nutrition","001","","73","3.521","39.7","28.8","28.8","1.4","1.4",".",".",".",".",".",".",".",".",".",".","."
"633
Companion Animal&Equine Med II","001","","82","3.062","8.5","18.3","57.3","6.1","8.5",".",".",".",".",".",".",".","1.2",".",".","."
"667
Small Animal Neurology","001","","18","4.000","77.8",".",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"668
Clin Dermatology Rotation","001","","22","4.000","59.1",".",".",".",".",".",".","40.9",".",".",".",".",".",".",".","."
"669
Small Anml Cardiolgy Rotatn","001","","28","4.000","14.3",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","."
"670","001","","32","4.000","25.0",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","."
"670","002","","7","4.000","71.4",".",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"670","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","","40","4.000","35.0",".",".",".",".",".",".","65.0",".",".",".",".",".",".",".","."
"672
Sr Rotation:Theriogenology","001","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"674
Sr Rotation:Ambulatory Serv","001","","45","4.000","31.1",".",".",".",".",".",".","68.9",".",".",".",".",".",".",".","."
"675","001","","30","4.000","73.3",".",".",".",".",".",".","26.7",".",".",".",".",".",".",".","."
"675","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"675","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"675","006","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","007","","13","4.000","53.8",".",".",".",".",".",".","46.2",".",".",".",".",".",".",".","."
"675","008","","35","4.000","2.9",".",".",".",".",".",".","97.1",".",".",".",".",".",".",".","."
"675","009","","71","",".",".",".",".",".",".",".","94.4",".",".",".",".","5.6",".",".","."
"675","010","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","015","","78","",".",".",".",".",".",".",".","88.5",".",".",".",".","11.5",".",".","."
"675","021","","82","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","023","","83","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","424","4.000","8.0",".",".",".",".",".",".","88.9",".",".",".",".","3.1",".",".","."
"678","001","","38","4.000","55.3",".",".",".",".",".",".","44.7",".",".",".",".",".",".",".","."
"678","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","","45","4.000","62.2",".",".",".",".",".",".","37.8",".",".",".",".",".",".",".","."
"679
Small Animal Oncology","001","","24","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","6","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","26","4.000","76.9",".",".",".",".",".",".","23.1",".",".",".",".",".",".",".","."
