"ATMOSPHERIC & OCEANIC SCIE Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","","",""
"","100","001","","283","3.186","39.6","13.8","16.6","13.8","9.2","4.9","0.7",".",".",".",".",".",".",".","1.4","."
"","100","002","","197","2.921","15.7","22.8","25.4","18.3","11.2","5.1","1.5",".",".",".",".",".",".",".",".","."
"Weather and Climate","","Course Total","","480","3.077","29.8","17.5","20.2","15.6","10.0","5.0","1.0",".",".",".",".",".",".",".","0.8","."
"Weather and Climate","101","001","","95","3.279","47.4","11.6","13.7","10.5","14.7","1.1","1.1",".",".",".",".",".",".",".",".","."
"Survey of Oceanography","105","001","","55","2.991","21.8","16.4","30.9","10.9","14.5","5.5",".",".",".",".",".",".",".",".",".","."
"Earth Water:Nat Sci&Hum Use","132","001","","71","3.221","32.4","26.8","19.7","8.5","5.6","2.8","2.8","1.4",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","","32","3.250","28.1","25.0","28.1","12.5","3.1","3.1",".",".",".",".",".",".",".",".",".","."
"Dynamic-Atmosphere&Ocean II","311","001","","15","2.679","13.3",".","53.3","6.7","6.7","6.7","6.7","6.7",".",".",".",".",".",".",".","."
"Physics-Atmosphere&Ocean II","340","001","","16","3.233","31.3","25.0","18.8","6.3","6.3","6.3",".","6.3",".",".",".",".",".",".",".","."
"Topics in Meteorology","401","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"AOS Senior Capstone Seminar","405","001","","20","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Radar & Satellite Meteorology","441","001","","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Syn Lab II-Mesoscale Meteor","453","001","","18","3.250","33.3","22.2","27.8","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"Sci Bckgrnd-Globl Envr Prob","472","001","","15","3.300","33.3","20.0","33.3",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"Tropical Meteorology","522","001","","11","3.182","27.3","36.4","18.2",".","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"Atmospherc Dispersn&Pollutn","535","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geophys Fluid Dynamics II","611","001","","11","3.545","45.5","18.2","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Radiatn in Atmosphere&Ocean","640","001","","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Physical Oceanography","660","001","","12","3.333","16.7","41.7","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","692","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Directed Study","698","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Large-Scale Ocn-Atm Couplng","760","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Boundary Layer Meteorology","773","001","","13","3.731","76.9","7.7",".","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Theoretical Meteor","801","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Climatology","925","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","","12","",".",".",".",".",".",".",".","16.7",".",".",".","83.3",".",".",".","."
"","990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","025","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","029","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","50","",".",".",".",".",".",".",".","76.0",".",".",".","22.0","2.0",".",".","."
