"AMERICAN INDIAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","","",""
"Intro-Amer Indian Studies","100
001","38","3.211","42.1","23.7","7.9","2.6","15.8","7.9",".",".",".","",".",".","",".","",".","",".",".","."
"Survey-N Amer Indian Languages","371
001","8","3.875","87.5",".","12.5",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Native Amer Envir Iss & Media","444
001","3","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","450
006","20","3.750","65.0","30.0",".",".","5.0",".",".",".",".","",".",".","",".","",".","",".",".","."
"","450
008","72","3.022","22.2","8.3","36.1","9.7","19.4",".",".","4.2",".","",".",".","",".","",".","",".",".","."
"","450
010","19","2.789","21.1","10.5","31.6","10.5","15.8","5.3","5.3",".",".","",".",".","",".","",".","",".",".","."
"","450
012","9","3.556","66.7","11.1",".","11.1","11.1",".",".",".",".","",".",".","",".","",".","",".",".","."
"Issues in Amer Ind Studies","Course Total","120","3.150","32.5","12.5","26.7","8.3","15.8","0.8","0.8","2.5","",".",".","",".","",".","",".",".",".","."
"American Indian History","490
001","21","3.450","23.8","38.1","33.3",".",".",".",".","4.8",".","",".",".","",".","",".","",".",".","."
"Directed Study","699
013","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"AMER IND
140","Dept. Total","191","3.247","37.2","16.8","22.5","5.8","13.1","2.1","0.5","2.1","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","22","3.045","31.8","13.6","18.2","13.6","18.2","4.5",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","57","3.193","36.8","15.8","24.6","1.8","17.5","3.5",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","38","3.057","28.9","18.4","23.7","7.9","15.8","2.6","2.6",".","",".",".","",".","",".","",".",".",".","."
"Senior","","71","3.434","42.3","18.3","22.5","5.6","7.0",".",".","4.2","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","188","3.239","36.7","17.0","22.9","5.9","13.3","2.1","0.5","1.6","",".",".","",".","",".","",".",".",".","."
"Special","","2","4.000","50.0",".",".",".",".",".",".","50.0","",".",".","",".","",".","",".",".",".","."
"Graduate","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","191","3.247","37.2","16.8","22.5","5.8","13.1","2.1","0.5","2.1","",".",".","",".","",".","",".",".",".","."
