"L&S","","","","","","","","","","","","","","","","","","","",""
"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","",""
"ILS
Dept. Total
500","758","3.553","43.5","16.5","13.1","5.4","1.1","0.4","0.4","0.5","",".","18.6","0.1","",".","0.3",".","0.1","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","152","3.282","22.4","11.8","9.9","8.6","0.7","1.3","1.3",".","",".","43.4",".","",".","0.7",".",".","."
"Sophomore","254","3.538","37.0","16.5","13.8","4.3","0.8","0.4",".",".","",".","26.8","0.4","",".",".",".",".","."
"Junior","168","3.573","49.4","22.6","16.7","5.4","1.2",".",".",".","",".","4.2",".","",".",".",".","0.6","."
"Senior","184","3.677","64.7","14.7","11.4","4.3","1.6",".","0.5","2.2","",".",".",".","",".","0.5",".",".","."
"Undergraduates","758","3.553","43.5","16.5","13.1","5.4","1.1","0.4","0.4","0.5","",".","18.6","0.1","",".","0.3",".","0.1","."
"Dept. Total","758","3.553","43.5","16.5","13.1","5.4","1.1","0.4","0.4","0.5","",".","18.6","0.1","",".","0.3",".","0.1","."
