"Rsch in Fam Med-Wingra FMC","910
017","","1","***","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","927
004","","8","4.000","100.0",".","",".",".","","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"","927
016","","8","3.875","87.5",".","","12.5",".","","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Clrkshp:Rural & Community Hlth","Course Total","","16","3.958","93.8","",".","6.3","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"FAM MED
370","Dept. Total","","41","3.971","51.2","",".","2.4","",".","",".","",".","",".","",".","",".","43.9","",".","",".","",".",".","2.4","."
"Summary by Level","","#","","Ave","A","AB","","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"370
FAM MED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","","4","4.000","100.0","",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","4","4.000","100.0","",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","","12","4.000","8.3","",".",".","",".","",".","",".","",".","",".","",".","83.3","",".","",".","",".",".","8.3","."
"Prof Yr 2","","","6","4.000","33.3","",".",".","",".","",".","",".","",".","",".","",".","66.7","",".","",".","",".",".",".","."
"Prof Yr 3","","","15","3.952","86.7","",".","6.7","",".","",".","",".","",".","",".","",".","6.7","",".","",".","",".",".",".","."
"Prof Yr 4","","","4","4.000","25.0","",".",".","",".","",".","",".","",".","",".","",".","75.0","",".","",".","",".",".",".","."
"Professionals","","","37","3.964","45.9","",".","2.7","",".","",".","",".","",".","",".","",".","48.6","",".","",".","",".",".","2.7","."
"","Dept. Total","","41","3.971","51.2","",".","2.4","",".","",".","",".","",".","",".","",".","43.9","",".","",".","",".",".","2.4","."
