"L&S","","","","","","","","","","","","","","","","","","",""
"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
001","137","2.948","16.1","21.9","24.1","21.9","9.5","3.6","1.5",".",".",".",".",".",".","0.7","0.7","."
"","101
002","70","3.336","25.7","32.9","32.9","5.7","1.4",".","1.4",".",".",".",".",".",".",".",".","."
"","101
003","70","2.929",".","24.3","42.9","27.1","5.7",".",".",".",".",".",".",".",".",".",".","."
"","004
101","68","3.000","19.1","20.6","30.9","14.7","10.3","1.5","2.9",".",".",".",".",".",".",".",".","."
"Introduction to Philosophy","Course Total","345","3.034","15.4","24.3","31.0","18.3","7.2","1.7","1.4",".",".",".",".",".",".","0.3","0.3","."
"","210
001","72","3.444","37.5","31.9","18.1","8.3","1.4",".","1.4","1.4",".",".",".",".",".",".",".","."
"","002
210","82","3.241","47.6","12.2","14.6","4.9","9.8","3.7","3.7","2.4",".",".",".",".",".",".",".","1.2"
"","210
003","20","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reason in Communication","Course Total","174","3.397","47.1","20.1","15.5","5.7","5.2","1.7","2.3","1.7",".",".",".",".",".",".",".","0.6"
"","211
001","74","2.863","27.0","18.9","14.9","8.1","16.2","10.8","2.7","1.4",".",".",".",".",".",".",".","."
"","211
002","59","3.271","28.8","30.5","25.4","6.8","5.1","1.7","1.7",".",".",".",".",".",".",".",".","."
"","003
211","72","2.912","25.0","9.7","27.8","9.7","15.3","2.8","4.2","5.6",".",".",".",".",".",".",".","."
"Elementary Logic","Course Total","205","3.000","26.8","19.0","22.4","8.3","12.7","5.4","2.9","2.4",".",".",".",".",".",".",".","."
"","241
001","75","3.432","42.7","13.3","33.3","4.0","2.7","1.3",".","2.7",".",".",".",".",".",".",".","."
"","241
002","73","3.451","43.8","16.4","26.0","9.6","2.7",".",".","1.4",".",".",".",".",".",".",".","."
"","241
003","70","3.309","25.7","25.7","32.9","8.6","4.3",".",".",".",".",".",".",".","1.4",".",".","1.4"
"Introductory Ethics","Course Total","218","3.399","37.6","18.3","30.7","7.3","3.2","0.5",".","1.4",".",".",".",".","0.5",".",".","0.5"
"","305
001","8","3.313","12.5","62.5","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","305
002","10","3.150","20.0","50.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Topics in Philosophy: Soc Sci","Course Total","18","3.222","16.7","55.6","16.7",".","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"","341
001","74","3.282","25.7","36.5","21.6","4.1","2.7","4.1","1.4","4.1",".",".",".",".",".",".",".","."
"","341
002","152","3.605","44.1","38.8","15.1","0.7","0.7",".","0.7",".",".",".",".",".",".",".",".","."
"","341
003","66","3.300","10.6","45.5","34.8","7.6",".",".",".",".",".",".",".",".","1.5",".",".","."
"","341
004","19","3.135","15.8","31.6","26.3","10.5","10.5",".",".",".",".",".",".",".",".","5.3",".","."
"","341
005","19","3.079","21.1","15.8","36.8","10.5","15.8",".",".",".",".",".",".",".",".",".",".","."
"","341
093","19","3.211","21.1","36.8","21.1","15.8",".","5.3",".",".",".",".",".",".",".",".",".","."
"","341
094","19","3.658","52.6","26.3","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
095","18","3.583","38.9","38.9","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","096
341","16","3.500","62.5","18.8","6.3","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","402","3.435","32.6","36.6","21.6","4.2","2.0","1.0","0.7","0.7",".",".",".",".","0.2","0.2",".","."
"Hist of Ancient Philosophy","430
001","59","3.407","13.6","55.9","28.8","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"History-Modern Philosophy","432
001","66","3.348","28.8","37.9","24.2","4.5","1.5",".","3.0",".",".",".",".",".",".",".",".","."
"Environmental Ethics","441
001","34","3.406","38.2","20.6","23.5","2.9","8.8",".",".","2.9",".",".",".",".","2.9",".",".","."
"Moral Philos & the Holocaust","442
001","20","3.625","60.0","10.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Philosophers","454
001","22","3.568","36.4","40.9","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Philosophers","464
001","21","3.190","19.0","19.0","47.6","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"Junior Honors Seminar","481
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior Honors Seminar","482
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Philosophy of Religion","501
001","42","3.397","54.8","7.1","14.3","9.5","2.4",".","4.8","4.8",".",".",".",".","2.4",".",".","."
"Theory of Knowledge","503
001","29","3.483","41.4","24.1","24.1","10.3",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Ethical Theories","541
001","43","3.407","46.5","20.9","20.9","4.7","2.3","2.3","2.3",".",".",".",".",".",".",".",".","."
"Philosophy of Mind","551
001","41","3.050","19.5","29.3","22.0","14.6","4.9","4.9","2.4",".",".",".",".",".",".",".","2.4","."
"Political Philosophy","555
001","21","3.526","38.1","33.3","9.5","4.8","4.8",".",".","4.8",".",".",".",".",".",".",".","4.8"
