"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"PATH-BIO","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","5","4.000","80.0",".",".",".",".","",".","",".",".","",".",".","",".",".","20.0",".",".","."
"Senior","27","3.641","66.7","11.1","18.5",".","3.7","",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","33","3.700","69.7","9.1","15.2",".","3.0","",".","",".",".","",".",".","",".",".","3.0",".",".","."
"Special","8","3.250","12.5",".",".","12.5",".","",".","",".","75.0","",".",".","",".",".",".",".",".","."
"Graduate","71","3.903","32.4",".","4.2",".",".","",".","",".","47.9","",".",".","",".","15.5",".",".",".","."
"Prof Yr 1","14","",".",".",".",".",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"Prof Yr 2","342","3.545","47.7","20.8","21.6","1.2",".","",".","",".","8.8","",".",".","",".",".",".",".",".","."
"Prof Yr 3","95","3.865","67.4","18.9","2.1",".",".","",".","",".","10.5","",".",".","",".",".","1.1",".",".","."
"Prof Yr 4","63","3.947","54.0","1.6","1.6",".",".","",".","",".","42.9","",".",".","",".",".",".",".",".","."
"Professionals","514","3.605","50.8","17.5","15.0","0.8",".","",".","",".","15.8","",".",".","",".",".","0.2",".",".","."
