"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"LATIN (CLASSICS)","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","","","","","",""
"","104
002","18","3.556","61.1","11.1","16.7",".","11.1",".","",".",".",".","",".",".","",".",".","",".",".","."
"","104
003","20","3.375","40.0","25.0","15.0","10.0","10.0",".","",".",".",".","",".",".","",".",".","",".",".","."
"","104
004","17","3.781","70.6","11.8","5.9","5.9",".",".",".","","5.9",".","",".",".","",".",".","",".",".","."
"","005
104","14","3.269","42.9","7.1","14.3","14.3","14.3",".",".","","7.1",".","",".",".","",".",".","",".",".","."
"Elementary Latin","Course Total","69","3.500","53.6","14.5","13.0","7.2","8.7",".","",".","2.9","",".",".","",".",".","",".",".",".","."
"","204
001","14","3.571","42.9","35.7","14.3","7.1",".",".",".","",".",".","",".",".","",".",".","",".",".","."
"","204
002","15","3.467","40.0","26.7","26.7",".","6.7",".",".","",".",".","",".",".","",".",".","",".",".","."
"Intro to Latin Literature","Course Total","29","3.517","41.4","31.0","20.7","3.4","3.4",".","",".",".","",".",".","",".",".","",".",".",".","."
"Latin Lit of Roman Empire","302
001","15","3.643","66.7","13.3","6.7",".",".","6.7",".","","6.7",".","",".",".","",".",".","",".",".","."
"Latin Philosophical Writers","549
001","19","3.816","73.7","15.8","10.5",".",".",".",".","",".",".","",".",".","",".",".","",".",".","."
"","699
014","3","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","699
041","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Directed Study","Course Total","4","***","","","","","","","","","","","","","","","","","","","",""
"","890
002","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","890
014","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","890
022","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Individual Research Thesis","Course Total","3","***","","","","","","","","","","","","","","","","","","","",""
"Seminar-Poetry","910
001","12","4.000","100.0",".",".",".",".",".",".","",".",".","",".",".","",".",".","",".",".","."
"LATIN
524","Dept. Total","151","3.588","58.9","15.9","11.9","4.0","4.6","0.7","",".","3.3","",".",".","",".","0.7","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","14","3.393","57.1","7.1","7.1","14.3","14.3",".","",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","31","3.636","67.7","9.7","12.9","3.2","6.5",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","30","3.359","43.3","16.7","23.3","6.7","6.7","3.3","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","44","3.591","45.5","31.8","13.6","2.3","2.3",".","",".","4.5","",".",".","",".",".","",".",".",".","."
"Undergraduates","","119","3.517","52.1","19.3","15.1","5.0","5.9","0.8","",".","1.7","",".",".","",".",".","",".",".",".","."
"Special","","5","3.857","60.0","20.0",".",".",".",".","",".","20.0","",".",".","",".",".","",".",".",".","."
"Graduate","","27","4.000","88.9",".",".",".",".",".","",".","7.4","",".",".","",".","3.7","",".",".",".","."
"","Dept. Total","151","3.588","58.9","15.9","11.9","4.0","4.6","0.7","",".","3.3","",".",".","",".","0.7","",".",".",".","."
