"IES","","","","","","","","","","","","","","","","","","","",""
"ENVIR ST - GAYLORD NELSON I","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"ENVIR ST
360","Dept. Total","1497","3.425","47.5","17.6","14.7","7.1","4.9","0.5","1.0","5.2","0.1","0.4","",".","0.5","0.4","0.1",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","89","3.350","48.3","20.2","14.6","3.4","11.2","1.1","1.1",".",".",".","",".",".",".",".",".","."
"Sophomore","","264","3.273","47.7","13.3","16.7","11.4","8.0","1.1","1.5",".",".",".","",".",".","0.4",".",".","."
"Junior","","320","3.402","46.6","19.1","17.5","10.3","5.0","0.3","0.6","0.3",".",".","",".",".",".",".",".","0.3"
"Senior","","544","3.434","47.2","21.1","16.2","6.6","4.2","0.6","1.5","2.0","0.2",".","",".",".","0.4",".",".","."
"Undergraduates","","1217","3.385","47.2","18.8","16.5","8.4","5.8","0.7","1.2","1.0","0.1",".","",".",".","0.2",".",".","0.1"
"Special","","28","3.253","28.6","21.4","25.0","7.1","7.1",".",".","7.1",".",".","",".",".",".","3.6",".","."
"Graduate","","250","3.786","50.8","10.8","4.8","0.8","0.8",".",".","25.6",".","2.4","",".","2.8","1.2",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 3","","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","2","3.786","50.0","50.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","1497","3.425","47.5","17.6","14.7","7.1","4.9","0.5","1.0","5.2","0.1","0.4","",".","0.5","0.4","0.1",".","0.1"
