"EGR","","","","","","","","","","","","","","","","","","",""
"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"","314
002","52","3.186","13.5","28.8","42.3","11.5",".","1.9",".",".",".",".",".",".","1.9",".",".","."
"Manufacturing Fundamentals","Course Total","106","3.171","13.2","29.2","40.6","12.3","2.8","0.9",".",".",".",".",".",".","0.9",".",".","."
"Geom Modeling-Engr Applcatn","331
001","77","2.864","20.8","10.4","29.9","16.9","16.9","1.3","3.9",".",".",".",".",".",".",".",".","."
"","340
001","36","2.444","19.4","13.9","22.2","8.3","8.3","13.9","13.9",".",".",".",".",".",".",".",".","."
"","340
002","44","2.872","13.6","27.3","15.9","15.9","20.5","2.3","2.3",".",".",".",".",".",".",".","2.3","."
"Intro to Dynamic Systems","Course Total","80","2.677","16.3","21.3","18.8","12.5","15.0","7.5","7.5",".",".",".",".",".",".",".","1.3","."
"","342
001","22","3.143","27.3","27.3","18.2","9.1","9.1",".","4.5",".",".",".",".",".","4.5",".",".","."
"","342
002","46","2.870","8.7","17.4","34.8","21.7","15.2","2.2",".",".",".",".",".",".",".",".",".","."
"Design of Machine Elements","Course Total","68","2.955","14.7","20.6","29.4","17.6","13.2","1.5","1.5",".",".",".",".",".","1.5",".",".","."
"","349
002","15","3.167",".","40.0","53.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","349
003","22","3.000","4.5","13.6","59.1","22.7",".",".",".",".",".",".",".",".",".",".",".","."
"","349
004","19","2.974",".","15.8","63.2","21.1",".",".",".",".",".",".",".",".",".",".",".","."
"","349
007","20","3.425","30.0","35.0","30.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Engineering Design Projects","Course Total","76","3.138","9.2","25.0","51.3","13.2","1.3",".",".",".",".",".",".",".",".",".",".","."
"","351
001","8","2.938",".",".","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","351
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Interdis Exper Dsgn Projects I","Course Total","12","3.250","25.0","8.3","58.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","352
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","352
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Expr Dsgn Projects II","Course Total","10","3.700","80.0",".",".","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","361
001","42","2.619","9.5","16.7","16.7","26.2","21.4","7.1","2.4",".",".",".",".",".",".",".",".","."
"","361
002","44","3.023","27.3","18.2","31.8","4.5","6.8","9.1","2.3",".",".",".",".",".",".",".",".","."
"","361
003","39","2.974","17.9","23.1","28.2","17.9","5.1","5.1","2.6",".",".",".",".",".",".",".",".","."
"Thermodynamics","Course Total","125","2.872","18.4","19.2","25.6","16.0","11.2","7.2","2.4",".",".",".",".",".",".",".",".","."
"","001
363","60","3.325","48.3","1.7","35.0",".","13.3","1.7",".",".",".",".",".",".",".",".",".","."
"","363
002","57","2.719","14.0","19.3","19.3","19.3","15.8","10.5","1.8",".",".",".",".",".",".",".",".","."
"Fluid Dynamics","Course Total","117","3.030","31.6","10.3","27.4","9.4","14.5","6.0","0.9",".",".",".",".",".",".",".",".","."
"","364
001","52","2.923","11.5","28.8","28.8","9.6","15.4","3.8","1.9",".",".",".",".",".",".",".",".","."
"","364
002","47","3.351","29.8","27.7","36.2","4.3",".",".","2.1",".",".",".",".",".",".",".",".","."
"Elementary Heat Transfer","Course Total","99","3.126","20.2","28.3","32.3","7.1","8.1","2.0","2.0",".",".",".",".",".",".",".",".","."
"Engr Measure & Instrumentation","368
001","93","2.909","10.8","17.2","29.0","33.3","7.5","2.2",".",".",".",".",".",".",".",".",".","."
"Energy Systems Laboratory","370
001","83","2.849","15.7","14.5","19.3","25.3","25.3",".",".",".",".",".",".",".",".",".",".","."
"Mechanical Dissection","379
001","12","3.625","41.7","50.0",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","417
001","20","3.500","30.0","50.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","417
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Polymer Processing","Course Total","21","3.524","33.3","47.6","9.5","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","418
001","39","3.705","53.8","33.3","12.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","418
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Design with Polymers","Course Total","44","3.705","54.5","31.8","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","419
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","419
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundamentals-Injection Molding","Course Total","3","***","","","","","","","","","","","","","","","",""
"Stat Expermntl Design-Engrs","424
001","9","3.667","55.6","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
