"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","162","3.351","33.3","30.2","16.7","9.9","5.6","1.9",".","1.9",".",".",".",".",".",".",".","0.6"
"","301
003","27","3.796","59.3","40.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Abilities & Learning","Course Total","189","3.416","37.0","31.7","14.3","8.5","4.8","1.6",".","1.6",".",".",".",".",".",".",".","0.5"
"Human Dev-Infancy&Childhood","320
001","143","3.350","30.1","33.6","21.7","8.4","4.9","1.4",".",".",".",".",".",".",".",".",".","."
"","321
001","107","3.519","50.5","20.6","19.6","2.8","5.6","0.9",".",".",".",".",".",".",".",".",".","."
"","321
002","109","2.892","22.9","21.1","18.3","17.4","7.3","4.6","5.5","2.8",".",".",".",".",".",".",".","."
"Human Develop-Adolescence","Course Total","216","3.222","36.6","20.8","19.0","10.2","6.5","2.8","2.8","1.4",".",".",".",".",".",".",".","."
"Hum Devel Chldhood-Adolescn","331
001","79","3.373","36.7","26.6","21.5","5.1","10.1",".",".",".",".",".",".",".",".",".",".","."
"Appl Behav Anal in Classrms","541
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","10","3.885","70.0",".","10.0",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"","699
026","6","3.188","16.7","16.7","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
047","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
054","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","21","3.798","61.9","4.8","23.8",".",".",".",".",".",".",".",".",".","9.5",".",".","."
"Seminar-Research in Ed Psyc II","710
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
005","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
007","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","32","3.982","96.9","3.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adolescent Development","721
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adult Development and Aging","722
001","11","3.750","54.5","27.3","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Theory & Issues-Human Dev","725
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Cog Assess-Children in Schools","740
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","761
001","54","3.824","66.7","22.2","5.6",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","761
002","34","3.574","47.1","23.5","26.5","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth-Applied to Ed II","Course Total","88","3.724","59.1","22.7","13.6","1.1",".",".",".","3.4",".",".",".",".",".",".",".","."
"Scaling, Factr&Cluster Anal","773
001","28","3.857","75.0","21.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Learning Sciences II","796
001","11","3.889","63.6","18.2",".",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"","840
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","840
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Pract-School Psych","Course Total","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychophm Treat-Chld&Adolescnt","845
001","18","4.000","94.4",".",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Seminar-Child Development","920
001","13","3.819","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sysms-Consltn in Schl Psych","942
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Internshp-School Psychology","943
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship Preparation","944
001","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Seminar in School Psychology","948
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Structural Equation Modeling","960
001","34","3.938","88.2","2.9",".","2.9",".",".",".",".",".",".",".",".","2.9",".","2.9","."
"Smr-Statistics & Rsch Dsgn","961
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hierarchical Linear Modeling","964
001","15","4.000","93.3",".",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
