"INTERDIS COURSES (L & S)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"","101
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","20","3.675","65.0","10.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Biological Sci","Course Total","35","3.814","80.0","5.7","11.4","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","106
001","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","106
002","20","3.550","35.0","40.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Social Sci","Course Total","35","3.686","54.3","28.6","17.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
001","51","3.814","84.3","3.9","5.9","2.0","3.9",".",".",".",".",".",".",".",".",".",".","."
"","002
210","79","3.810","87.3","6.3","1.3","1.3","1.3",".","2.5",".",".",".",".",".",".",".",".","."
"L&S Career Development","Course Total","130","3.812","86.2","5.4","3.1","1.5","2.3",".","1.5",".",".",".",".",".",".",".",".","."
"","250
001","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
002","17","3.919","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
003","16","3.914","93.8",".",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","250
004","16","3.943","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
005","14","3.933","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
006","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
007","15","3.797","60.0","26.7","6.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","250
008","15","3.969","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
009","14","3.933","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Research Experience","Course Total","141","3.926","87.2","9.2","2.1","0.7",".",".",".",".",".",".",".",".","0.7",".",".","."
"","260
001","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
002","14","3.643","78.6",".",".","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"Intrnshp in Liberal Arts & Sci","Course Total","27","3.778","81.5","7.4",".","7.4","3.7",".",".",".",".",".",".",".",".",".",".","."
"Paradigms&Process-Acad Inquiry","315
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"INTER-LS
502","Dept. Total","378","3.847","83.1","9.0","4.5","1.6","1.1",".","0.5",".",".",".",".",".","0.3",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","133","3.779","72.2","15.0","9.8","1.5","0.8",".",".",".",".",".",".",".","0.8",".",".","."
"Sophomore","","110","3.947","91.8","6.4",".","0.9","0.9",".",".",".",".",".",".",".",".",".",".","."
"Junior","","72","3.936","91.7","2.8","4.2",".","1.4",".",".",".",".",".",".",".",".",".",".","."
"Senior","","61","3.739","80.3","8.2","1.6","4.9","1.6",".","3.3",".",".",".",".",".",".",".",".","."
"Undergraduates","","376","3.847","83.0","9.0","4.5","1.6","1.1",".","0.5",".",".",".",".",".","0.3",".",".","."
"Special","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","378","3.847","83.1","9.0","4.5","1.6","1.1",".","0.5",".",".",".",".",".","0.3",".",".","."
