"HISTORY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"The Vietnam Wars","319
001","","89","3.605","30.3","25.8","11.2","2.2",".",".",".","29.2",".",".",".",".","1.1",".",".","."
"Sci Revol:Copernicus-Newton","323
001","","14","3.714","21.4","28.6",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Environmental History: Europe","328
001","","15","3.167","13.3","13.3","40.0","13.3",".",".",".","20.0",".",".",".",".",".",".",".","."
"","335
001","","24","3.500","54.2","12.5","8.3","4.2","12.5",".",".","8.3",".",".",".",".",".",".",".","."
"","335
002","","20","3.275","30.0","35.0","25.0",".","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"Korean Histry, 1945 to present","Course Total","","44","3.393","43.2","22.7","15.9","2.3","9.1",".","2.3","4.5",".",".",".",".",".",".",".","."
"Hist-Modern China,1800-1949","341
001","","48","3.564","47.9","10.4","12.5","6.3","4.2",".",".","16.7",".",".",".",".","2.1",".",".","."
"First World War","350
001","","83","3.313","14.5","33.7","26.5","4.8",".",".","1.2","18.1",".",".",".",".","1.2",".",".","."
"The Second World War","001
357","","75","3.479","28.0","41.3","17.3","5.3","1.3",".",".","5.3",".",".",".",".",".","1.3",".","."
"Hist-Germany, 1871-Present","001
410","","30","3.022","26.7","3.3","20.0","20.0",".","3.3","3.3","20.0",".",".",".",".","3.3",".",".","."
"History-American Education","412
001","","31","3.517","38.7","32.3","12.9","6.5","3.2",".",".","6.5",".",".",".",".",".",".",".","."
"US Military History to 1902","427
003","","35","3.577","37.1","28.6",".","5.7",".","2.9",".",".",".",".",".",".","2.9",".","22.9","."
"History of Scand to 1815","431
001","","14","3.500","21.4","14.3","21.4",".",".",".",".","35.7",".",".",".",".",".","7.1",".","."
"Amer Foreign Rel-1901 on","434
002","","27","3.545","37.0","22.2","14.8","7.4",".",".",".","18.5",".",".",".",".",".",".",".","."
"Amer Environmental History","460
001","","87","3.538","32.2","25.3","12.6","3.4","2.3",".",".","24.1",".",".",".",".",".",".",".","."
"The American West to1850","461
001","","46","3.402","45.7","26.1","15.2","2.2","4.3","6.5",".",".",".",".",".",".",".",".",".","."
"American Economy to 1865","465
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","500
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","500
006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","500
007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","500
008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading Seminar in History","Course Total","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","505
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","505
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History at Work","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History Internship Seminar","506
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"The Enlightenm't & Its Critics","512
001","","24","3.262","20.8","37.5","16.7","8.3",".",".","4.2","8.3",".",".",".",".","4.2",".",".","."
"Anti-Semitism-European Culture","518
001","","9","3.938","77.8","11.1",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Sexuality,Modernity&Soc Change","519
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist of Mass Communication","560
001","","7","2.929","28.6","14.3","42.9",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","600
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
002","","13","3.458","23.1","38.5","30.8",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","600
003","","10","3.650","50.0","40.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","600
005","","17","3.900","70.6","17.6",".",".",".",".",".","5.9",".",".",".",".","5.9",".",".","."
"","600
008","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
009","","10","3.389","20.0","30.0","40.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","012
600","","14","3.692","50.0","28.6","14.3",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","600
016","","7","3.214","42.9","42.9",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Advanced Seminar in History","Course Total","","93","3.688","55.9","25.8","10.8","1.1",".",".","1.1","1.1",".",".",".",".","4.3",".",".","."
"Honors Thesis Colloquium","680
001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681
019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
