"","601
004","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","601
005","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"7th Semester Asian Language","Course Total","3","***","","","","","","","","","","","","","","","","","","","","","",""
"Advanced Readings in Sanskrit","675
001","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"LCA LANG
522","Dept. Total","181","3.765","74.0","12.7","9.4","",".","1.1","",".","1.1","",".","",".",".","",".","",".","1.1",".","0.6","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","D","","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"522
LCA LANG","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","26","3.827","76.9","11.5","11.5","",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","43","3.614","62.8","16.3","18.6","",".",".","",".","2.3","",".","",".",".","",".","",".",".",".",".","."
"Junior","","44","3.829","75.0","11.4","6.8","",".","2.3","",".",".","",".","",".",".","",".","",".","4.5",".",".","."
"Senior","","36","3.661","69.4","16.7","8.3","",".","2.8","",".","2.8","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","149","3.725","70.5","14.1","11.4","",".","1.3","",".","1.3","",".","",".",".","",".","",".","1.3",".",".","."
"Special","","7","4.000","85.7",".",".","",".",".","",".",".","",".","",".",".","",".","",".",".",".","14.3","."
"Graduate","","23","3.958","91.3","8.7",".","",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","","2","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","181","3.765","74.0","12.7","9.4","",".","1.1","",".","1.1","",".","",".",".","",".","",".","1.1",".","0.6","."
