"COMPARATIVE LITERATURE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"260
COMP LIT","","","","","","","","","","","","","","","","","","",""
"","203
002","62","3.200","9.7","32.3","43.5","9.7","1.6",".",".","3.2",".",".",".",".",".",".",".","."
"","203
003","123","3.384","30.1","30.9","27.6","7.3","1.6",".","0.8",".",".",".",".",".",".",".","0.8","0.8"
"","203
004","18","3.971","88.9","5.6",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Intro Cross-Cultrl Lit Form","Course Total","203","3.379","29.1","29.1","30.0","7.4","1.5",".","0.5","1.5",".",".",".",".",".",".","0.5","0.5"
"Intro to Literary Criticism","310
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","350
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350
002","20","3.921","80.0","15.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","350
003","22","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Problms in Comp Lit & Cultures","Course Total","50","3.888","76.0","22.0",".",".",".",".",".",".",".",".",".",".","2.0",".",".","."
"Literary Criticism","371
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Compar In & Beyond Compar Lit","500
001","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Literary Criticism","771
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Poetics & Literary Thry","975
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr in Poetics-Polyseminar","976
001","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
003","6","",".",".",".",".",".",".",".","83.3",".",".",".",".","16.7",".",".","."
"","990
008","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
018","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
024","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","17","",".",".",".",".",".",".",".","82.4",".",".",".","11.8","5.9",".",".","."
