"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"Honors in Research","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"491","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"491","015","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"491","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"491","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"491","050","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"491","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","069","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"491","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mech Engr Projects I","Course Total","","27","3.976","92.6","7.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"492","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"492","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"492","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"492","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mech Engr Projects II","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"510
Facilities Planning","001","","6","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"512
Inspectn,Qual Cntrl&Relblty","001","","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"532
Thry&Appl of Pattrn Recgntn","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"539
Intro-Artificl Neural Ntwrk","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"540
Exp Vib & Dynamic Sys Anal","001","","6","2.750",".","50.0","33.3",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"549
Product Design","001","","37","3.986","97.3","2.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"561
Intermediate Thermodynamics","001","","27","3.346","37.0","14.8","22.2","22.2",".",".",".",".",".",".",".",".","3.7",".",".","."
"565
Power Plant Technology","001","","11","3.318","45.5",".","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"567
Solar Energy Technology","001","","20","3.425","50.0","20.0","20.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"573
Computational Fluid Dynamics","001","","26","3.660","65.4","11.5","11.5",".","7.7",".",".","3.8",".",".",".",".",".",".",".","."
"601","001","","10","3.813","50.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","20.0","."
"601","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"601","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"601","005","","11","3.500","18.2","63.6","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics-Mech Engr","Course Total","","31","3.648","45.2","35.5","12.9",".",".",".",".",".",".",".",".",".",".",".","6.5","."
"603
Topics-Bio-Medical Engr","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","9","3.932","77.8","11.1",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
