"","990
015","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","990
017","2","***","","","","","","","","","",".",".","",".",".",".",".","."
"","990
018","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","990
019","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"Thesis","Course Total","40","",".",".",".",".",".",".",".","70.0","5.0",".","",".","25.0",".",".",".","."
"SPANISH
912","Dept. Total","2235","3.564","51.3","23.2","15.9","3.2","2.8","0.5","0.3","1.7","0.1",".","",".","0.4","0.4","0.0",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","561","3.549","46.9","27.3","19.3","3.0","2.5","0.4","0.2","0.2",".",".","",".",".","0.2",".",".","0.2"
"Sophomore","","522","3.574","50.2","28.0","15.1","2.9","2.1","0.6","0.4","0.2","0.2",".","",".",".","0.4",".",".","."
"Junior","","410","3.482","47.3","23.2","19.0","4.4","4.1","1.2",".","0.2",".",".","",".",".","0.5",".",".","."
"Senior","","608","3.602","59.4","18.6","13.8","3.5","3.0","0.2","0.7","0.5",".",".","",".",".","0.2","0.2",".","0.2"
"Undergraduates","","2101","3.557","51.4","24.1","16.6","3.4","2.9","0.5","0.3","0.3","0.0",".","",".",".","0.3","0.0",".","0.1"
"Special","","20","3.266","45.0","15.0","20.0",".","10.0","5.0",".","5.0",".",".","",".",".",".",".",".","."
"Graduate","","107","3.890","48.6","8.4","1.9",".",".",".",".","28.0","1.9",".","",".","9.3","1.9",".",".","."
"Prof Yr 1","","1","***","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 2","","3","***","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 3","","3","***","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".","",".",".",".",".",".","."
"","Dept. Total","2235","3.564","51.3","23.2","15.9","3.2","2.8","0.5","0.3","1.7","0.1",".","",".","0.4","0.4","0.0",".","0.1"
