"476
HORT","","","","","","","","","","","","","","","","","","","","",""
"","990
041","2","***","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
042","3","***","","","","","","","","","",".",".","",".",".","",".",".","."
"Research","Course Total","36","",".",".",".",".",".",".",".","66.7","2.8",".","",".","30.6","",".",".",".","."
"HORT
476","Dept. Total","391","3.290","37.1","22.0","14.1","7.2","5.1","2.0","1.3","8.2","0.3",".","",".","2.8","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","39","3.070","25.6","28.2","15.4","12.8","10.3","5.1","2.6",".",".",".","",".",".","",".",".",".","."
"Sophomore","","49","3.209","36.7","24.5","14.3","14.3","6.1",".","4.1",".",".",".","",".",".","",".",".",".","."
"Junior","","89","3.193","34.8","22.5","25.8","6.7","4.5","5.6",".",".",".",".","",".",".","",".",".",".","."
"Senior","","108","3.291","42.6","24.1","14.8","8.3","8.3","0.9","0.9",".",".",".","",".",".","",".",".",".","."
"Undergraduates","","285","3.217","36.8","24.2","18.2","9.5","7.0","2.8","1.4",".",".",".","",".",".","",".",".",".","."
"Special","","11","2.500","9.1","9.1",".","9.1",".",".","9.1","63.6",".",".","",".",".","",".",".",".","."
"Graduate","","95","3.750","41.1","16.8","3.2",".",".",".",".","26.3","1.1",".","",".","11.6","",".",".",".","."
"","Dept. Total","391","3.290","37.1","22.0","14.1","7.2","5.1","2.0","1.3","8.2","0.3",".","",".","2.8","",".",".",".","."
