"EGR","","","","","","","","","","","","","","","","","","","",""
"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"M E
612","Dept. Total","2816","3.368","35.1","25.4","17.8","8.3","4.7","1.5","0.4","2.9","0.1","0.2","",".","3.2","0.2","0.1","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","102","3.529","51.0","24.5","9.8","4.9","8.8","1.0",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","230","3.313","27.8","33.9","20.4","10.4","5.2","1.7","0.4",".",".",".","",".",".",".",".",".","."
"Junior","","539","3.218","29.5","27.3","20.8","12.8","5.8","2.4","0.7",".",".",".","",".",".",".","0.6",".","0.2"
"Senior","","1468","3.375","37.7","27.7","19.3","8.3","5.2","1.4","0.2",".","0.1",".","",".",".","0.1",".","0.1","."
"Undergraduates","","2339","3.344","35.4","28.0","19.3","9.4","5.5","1.6","0.3",".","0.0",".","",".",".","0.1","0.1","0.0","0.0"
"Special","","46","3.126","37.0","17.4","17.4","6.5","8.7","8.7",".","2.2",".",".","",".",".","2.2",".",".","."
"Graduate","","495","3.615","41.6","10.5","8.1","2.0","0.2",".","0.8","16.4","0.2","1.0","",".","18.0","0.8",".","0.4","."
"","Dept. Total","2880","3.368","36.5","24.9","17.4","8.1","4.6","1.5","0.4","2.8","0.1","0.2","",".","3.1","0.2","0.1","0.1","0.0"
