"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"URBAN AND REGIONAL PLANNI","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","","",""
"Introduction to the City","305","001","","50","3.720","66.0","14.0","18.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","306","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Urban & Regional Economics","420","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","590","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","590","003","","11","3.800","36.4",".","9.1",".",".",".",".","54.5",".",".",".",".",".",".",".","."
"Contemp Topics-Urb & Reg Pl","","Course Total","","14","3.929","50.0",".","7.1",".",".",".",".","42.9",".",".",".",".",".",".",".","."
"Urban Design: Theory/Practice","611","001","","16","3.733","50.0","37.5","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Modern American Communities","645","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Green Pol:Glb Expr,Am Prosp","668","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Urban Economics","720","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Methods-Planning Analysis","721","001","","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Regional Planning","731","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Planning","741","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Financial Planning","751","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Energy Analysis & Policy","809","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Envir & Alt Dispute Resolution","814","001","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Land Use Policy & Planning","843","001","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Policy-Making Process","874","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Planning Workshop","912","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","999","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
