"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","",""
"HEBREW-BIBLICAL","Section","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"441
HEBR-BIB","","","","","","","","","","","","","","","","","","","","","","","",""
"Elementary Biblical Hebrew, I","103","001","5","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Biblical Hebrew I","323","001","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Biblical Texts, Poetry","513","001","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Adv Near Eastern Languages","700","001","5","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Pentateuchal Narratives","743","001","4","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","799","021","5","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","799","062","5","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","10","4.000","90.0",".",".",".","",".","",".","",".","10.0","",".",".",".",".",".",".",".","."
"Seminar-Biblical Studies","951","001","4","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","990","021","3","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","990","062","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","4","***","","","","","","","","","","","","","","","","","","","",""
"HEBR-BIB
441","","Dept. Total","34","3.742","52.9","20.6","5.9",".","",".","",".","",".","14.7","",".",".",".",".","2.9","2.9",".","."
