"AGROECOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"130
AGROECOL","","","","","","","","","","","","","","","","","","","",""
"103
Agroecology of Food and Ag","002","","30","3.283","53.3","16.7","16.7",".","3.3",".","10.0",".",".",".",".",".",".",".",".","."
"371
Managed Grazing Field Study","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"710
Agroecology Seminar","001","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"720
Agroecology Field Study","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"724
Agroecosystems & Global Chng","001","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","4","***","","","","","","","","","","","","","","","",""
