"L&S","","","","","","","","","","","","","","","","","","",""
"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"","200
001","223","2.726","13.9","14.8","30.9","15.7","13.5","6.3","4.9",".",".",".",".",".",".",".",".","."
"","200
002","229","2.877","15.7","24.5","23.1","13.5","11.8","6.1","3.1","0.9","0.4",".",".",".","0.9",".",".","."
"","200
003","136","3.059","19.9","22.1","28.7","17.6","7.4","4.4",".",".",".",".",".",".",".",".",".","."
"","200
004","138","2.768","10.9","18.8","27.5","15.2","19.6","3.6","2.9","0.7",".",".",".",".","0.7",".",".","."
"Programming I","Course Total","726","2.844","15.0","20.0","27.4","15.3","12.9","5.4","3.0","0.4","0.1",".",".",".","0.4",".",".","."
"Introduction to Computation","001
202","42","3.417","40.5","31.0","14.3","9.5","2.4",".","2.4",".",".",".",".",".",".",".",".","."
"","240
001","194","3.036","26.8","8.8","35.1","17.0","7.7","1.0","3.1",".",".",".",".",".","0.5",".",".","."
"","240
002","187","3.051","24.1","15.0","35.8","14.4","5.9","1.1","3.7",".",".",".",".",".",".",".",".","."
"Intro to Discrete Mathematics","Course Total","381","3.043","25.5","11.8","35.4","15.7","6.8","1.0","3.4",".",".",".",".",".","0.3",".",".","."
"","252
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","252
002","138","3.029","24.6","23.9","18.1","10.9","18.8","1.4","2.2",".",".",".",".",".",".",".",".","."
"","005
252","132","3.114","43.2","14.4","12.9","8.3","12.9","3.0","5.3",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","275","3.080","33.8","19.6","15.6","9.5","15.6","2.2","3.6",".",".",".",".",".",".",".",".","."
"","300
001","162","3.099","25.9","18.5","31.5","12.3","6.8","0.6","3.7",".",".",".",".",".","0.6",".",".","."
"","300
002","155","3.271","35.5","22.6","27.1","5.8","3.9","2.6","2.6",".",".",".",".",".",".",".",".","."
"Programming II","Course Total","317","3.184","30.6","20.5","29.3","9.1","5.4","1.6","3.2",".",".",".",".",".","0.3",".",".","."
"","301
001","138","3.310","34.8","26.8","19.6","5.8","6.5","2.2","1.4","2.2",".",".",".",".","0.7",".",".","."
"","002
301","142","3.325","38.7","25.4","16.9","7.7","7.0",".","2.8","1.4",".",".",".",".",".",".",".","."
"","301
003","114","3.062","21.9","33.3","18.4","7.0","10.5","5.3","2.6",".",".",".",".",".","0.9",".",".","."
"Intro Data Programming","Course Total","394","3.243","32.5","28.2","18.3","6.9","7.9","2.3","2.3","1.3",".",".",".",".","0.5",".",".","."
"","304
001","12","3.667","83.3",".",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","304
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
003","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
004","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
005","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
006","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
007","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
008","3","***","","","","","","","","","",".",".",".",".",".",".","."
"WES-CS Group Meeting","Course Total","71","3.944","97.2",".",".",".","2.8",".",".",".",".",".",".",".",".",".",".","."
"","352
001","25","3.120","16.0","32.0","28.0","8.0","16.0",".",".",".",".",".",".",".",".",".",".","."
"","002
352","14","3.179","21.4","35.7","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","39","3.141","17.9","33.3","23.1","10.3","15.4",".",".",".",".",".",".",".",".",".",".","."
"","354
001","135","2.899","30.4","14.1","14.1","17.8","13.3","3.7","5.9",".",".",".",".",".","0.7",".",".","."
"","354
002","134","2.981","34.3","9.0","19.4","14.2","15.7","4.5","3.0",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","269","2.940","32.3","11.5","16.7","16.0","14.5","4.1","4.5",".",".",".",".",".","0.4",".",".","."
"","001
367","138","2.938","22.5","9.4","31.9","20.3","10.9","2.9","2.2",".",".",".",".",".",".",".",".","."
"","367
002","151","2.872","19.9","7.3","29.1","20.5","19.2","1.3","1.3","0.7",".",".",".",".","0.7",".",".","."
"","367
004","71","3.408","36.6","28.2","25.4","5.6","2.8",".","1.4",".",".",".",".",".",".",".",".","."
"Intro to Data Structures","Course Total","360","3.004","24.2","12.2","29.4","17.5","12.8","1.7","1.7","0.3",".",".",".",".","0.3",".",".","."
"Learn a Programming Language","368
001","106","",".",".",".",".",".",".",".",".",".","90.6","9.4",".",".",".",".","."
"Introducing Comp Sci to K-12","402
001","38","3.868","86.8","5.3","5.3",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"Intro to Numerical Methods","412
001","54","2.849","22.2","22.2","18.5","11.1","11.1","7.4","5.6",".",".",".",".",".",".","1.9",".","."
"Introduction to Cryptography","435
001","105","2.876","18.1","22.9","15.2","26.7","7.6","7.6","1.9",".",".",".",".",".",".",".",".","."
"","475
001","23","2.783","34.8","8.7","26.1",".","8.7","13.0","8.7",".",".",".",".",".",".",".",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","Page 203 of 420",""
