"PATHO-BIOLOGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","",""
"150
Topics & Careers in Vet Sci","001","","59","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"210
HIV: Sex, Society and Science","001","","53","3.302","37.7","17.0","32.1","1.9","7.5","3.8",".",".",".",".",".",".",".",".",".","."
"510
Veterinary Immunology","001","","86","3.406","32.6","29.1","27.9","4.7","4.7",".",".",".",".",".",".",".",".",".",".","1.2"
"512
Intro-Veterinary Epidemolgy","001","","86","3.453","47.7","12.8","26.7","7.0","3.5","1.2",".",".",".",".",".",".",".",".",".","1.2"
"513
Veterinary Virology","001","","86","3.724","59.3","26.7","10.5","2.3",".",".",".",".",".",".",".",".",".",".",".","1.2"
"517
Veterinary Bact & Mycology","001","","87","3.680","58.6","19.5","19.5",".","1.1",".",".",".",".",".",".",".",".",".",".","1.1"
"525
Active, Integrated Learning I","001","","86","4.000","81.4",".",".",".",".",".",".","17.4",".",".",".",".",".",".",".","1.2"
"528
Immunology","001","","9","2.813","11.1",".","44.4","11.1","22.2",".",".","11.1",".",".",".",".",".",".",".","."
"559
Veterinary General Path","002","","86","3.888","79.1","17.4","2.3",".",".",".",".",".",".",".",".",".",".",".",".","1.2"
"560
Veterinary Systemic Path I","002","","86","3.547","40.7","30.2","24.4","3.5",".",".",".",".",".",".",".",".",".",".",".","1.2"
"660
Vet Necropsy Rotation","001","","31","4.000","83.9",".",".",".",".",".",".","16.1",".",".",".",".",".",".",".","."
"675","001","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","002","","45","",".",".",".",".",".",".",".","97.8",".",".",".",".",".",".","2.2","."
"675","003","","166","",".",".",".",".",".",".",".","99.4",".",".",".",".",".",".",".","0.6"
"675","004","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","231","3.750","1.7","1.7",".",".",".",".",".","95.7",".",".",".",".",".",".","0.4","0.4"
"681
Senior Honors Thesis","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"775","001","","18","",".",".",".",".",".",".",".","83.3",".",".",".",".",".",".","16.7","."
"775","002","","10","",".",".",".",".",".",".",".","70.0",".",".",".",".",".",".","30.0","."
"775","003","","8","",".",".",".",".",".",".",".","87.5",".",".",".",".",".",".","12.5","."
"775","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","39","",".",".",".",".",".",".",".","79.5",".",".",".",".",".",".","20.5","."
"930
Advanced Seminar","012","","28","3.786","14.3","10.7",".",".",".",".",".","75.0",".",".",".",".",".",".",".","."
"990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","","Page 413 of 420",""
