"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"MICROBIO","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","205","2.957","19.0","11.2","37.6","16.1","12.7","2.9","0.5",".","",".",".","",".",".",".",".",".","."
"Junior","","342","3.217","35.7","12.9","32.5","8.8","7.9","1.5","0.3",".","",".",".","",".",".","0.6",".",".","."
"Senior","","739","3.314","40.7","18.4","25.7","5.3","6.6","1.9","0.7","0.1","",".",".","",".","0.3","0.1",".","0.1","."
"Undergraduates","","1289","3.224","35.9","15.7","29.5","7.9","7.9","1.9","0.5","0.1","",".",".","",".","0.2","0.2",".","0.1","."
"Special","","33","3.560","48.5","12.1","27.3",".","3.0",".",".","3.0","",".",".","",".",".",".","6.1",".","."
"Graduate","","176","3.767","58.0","6.3","6.3","0.6",".",".",".","6.8","",".",".","",".","22.2",".",".",".","."
"","Dept. Total","1498","3.265","38.8","14.6","26.7","6.9","6.9","1.7","0.5","0.9","",".",".","",".","2.7","0.2","0.1","0.1","."
