"PEDIATRICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","",""
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","070","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","091","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","095","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","097","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","102","","6","3.400",".","66.7","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Independent Study","Course Total","","44","3.971","86.4","9.1","2.3",".",".",".",".",".",".",".",".",".","2.3",".",".","."
"713
Practicum-Genetic Counselng","005","","6","3.583","16.7","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"731
Advanced Clinical Genetics","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"737
Contemp Pro Iss-Gen Cnslng","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"739
Lit Search Strategies&Analysis","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"741
Interviewing and Counseling","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"744
Biochm Genetics for Counselors","001","","6","3.700","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"812","041","","34","3.234","8.8","26.5","58.8",".",".",".",".",".",".",".",".",".",".",".",".","5.9"
"812","042","","16","3.219","12.5","18.8","68.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","043","","20","3.350","25.0","20.0","55.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","044","","20","3.375","25.0","25.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","091","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"3rd Year Pediatrics","Course Total","","94","3.288","16.0","24.5","57.4",".",".",".",".",".",".",".",".",".",".",".",".","2.1"
"813
Adv Pract-Genetic Counselng","005","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"919","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"919","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"919","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","13","3.903","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"930","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Peds Sub-Intrn Newborn-Milw","Course Total","","3","***","","","","","","","","","","","","","","","",""
"938","041","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"938","043","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"938","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
