"BUS","","","","","","","","","","","","","","","","","","","","",""
"MANAGEMENT AND HUMAN RES Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","","","",""
"M H R
Dept. Total
236","1869","3.531","43.2","28.4","19.6","4.4","2.0","0.3","",".","0.2","",".",".","",".","1.3","0.5",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","35","3.686","54.3","34.3","8.6",".","2.9",".","",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","118","3.237","19.5","27.1","39.8","10.2","2.5","0.8","",".",".","",".",".","",".",".",".",".",".","."
"Junior","400","3.328","26.8","30.3","30.3","7.5","4.0","0.8","",".",".","",".",".","",".",".","0.5",".",".","."
"Senior","600","3.477","39.3","28.2","23.3","5.2","2.8","0.3","",".","0.2","",".",".","",".",".","0.7",".",".","."
"Undergraduates","1153","3.407","33.4","29.0","27.0","6.3","3.2","0.5","",".","0.1","",".",".","",".",".","0.5",".",".","."
"Special","71","3.521","46.5","19.7","23.9","7.0","1.4",".","",".",".","",".",".","",".",".","1.4",".",".","."
"Graduate","637","3.803","60.3","28.6","6.0","0.6",".",".","",".","0.3","",".",".","",".","3.9","0.3",".",".","."
"Prof Yr 3","7","3.763","71.4","14.3","14.3",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 4","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","8","3.795","75.0","12.5","12.5",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Dept. Total","1869","3.531","43.2","28.4","19.6","4.4","2.0","0.3","",".","0.2","",".",".","",".","1.3","0.5",".",".","."
