"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","","",""
"MUSIC-PERFORMANCE","Section","#","Ave","A","AB","B","","BC","C","","D","","F","","S","","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","","","","","","",""
"403
Advanced Organ","042","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"405","044","3","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"405","045","5","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"405","061","3","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"405","062","5","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"405","145","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Voice","Course Total","17","3.972","94.1","5.9","",".",".","",".","",".","",".","",".","",".",".",".",".",".",".",".","."
"407
Advanced Flute","110","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"409
Advanced Oboe","059","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"413
Advanced Saxophone","050","2","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"415
Advanced Bassoon","032","2","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"417","020","2","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"417","120","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Horn","Course Total","3","***","","","","","","","","","","","","","","","","","","","","","",""
"419","063","5","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"419","163","2","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Trumpet","Course Total","7","3.667","42.9","42.9","",".","14.3","",".","",".","",".","",".","",".",".",".",".",".",".",".","."
"421","089","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"421","189","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Trombone","Course Total","2","***","","","","","","","","","","","","","","","","","","","","","",""
"423
Advanced Euphonium","035","2","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"425","035","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"425","135","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Tuba","Course Total","2","***","","","","","","","","","","","","","","","","","","","","","",""
"427","033","3","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"427","133","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Percussion","Course Total","4","***","","","","","","","","","","","","","","","","","","","","","",""
"431","025","3","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"431","083","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"431","125","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Violin","Course Total","5","***","","","","","","","","","","","","","","","","","","","","","",""
"433
Advanced Viola","073","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"435","026","2","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"435","126","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Cello","Course Total","3","***","","","","","","","","","","","","","","","","","","","","","",""
"440
Advanced Guitar","011","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"447","046","2","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"447","050","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Year Composition","Course Total","3","***","","","","","","","","","","","","","","","","","","","","","",""
"49
Basic Oboe","059","5","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"499","032","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"499","033","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"499","062","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
