"Topics in Anatomy","675
021","","44","4.000","100.0",".","",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"","990
055","","2","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
057","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research and Thesis","Course Total","","3","***","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANATOMY
144","Dept. Total","","48","3.968","91.7","2.1","",".","",".","",".","",".","",".","6.3","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"144
ANATOMY","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","9","4.000","100.0",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","33","3.957","97.0","3.0","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","42","3.966","97.6","2.4","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","6","4.000","50.0",".","",".","",".","",".","",".","",".","50.0","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","48","3.968","91.7","2.1","",".","",".","",".","",".","",".","6.3","",".",".","",".","",".","",".",".",".","."
