"HORTICULTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","",""
"120","001","","23","3.159","34.8","26.1","17.4","4.3","4.3",".","8.7","4.3",".",".",".",".",".",".",".","."
"120","002","","41","3.244","24.4","29.3","26.8","9.8","9.8",".",".",".",".",".",".",".",".",".",".","."
"Survey of Horticulture","Course Total","","64","3.214","28.1","28.1","23.4","7.8","7.8",".","3.1","1.6",".",".",".",".",".",".",".","."
"121
Horticulture Colloquium","001","","26","3.231","42.3","30.8","7.7","7.7",".","3.8","7.7",".",".",".",".",".",".",".",".","."
"234
Ornamental Plants","001","","14","3.179","28.6","28.6","7.1","21.4","14.3",".",".",".",".",".",".",".",".",".",".","."
"261
Sustainable Turf Management","001","","29","3.293","41.4","27.6","13.8","3.4","6.9","3.4","3.4",".",".",".",".",".",".",".",".","."
"262
Turfgrass Management Lab","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"263
Landscape Plants I","001","","10","2.200",".","10.0","30.0","10.0","20.0","30.0",".",".",".",".",".",".",".",".",".","."
"299","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"309
Diseases of Trees and Shrubs","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"320
Environment of Hort Plants","001","","13","3.192","23.1","38.5","15.4","15.4",".","7.7",".",".",".",".",".",".",".",".",".","."
"339
Plant Biotech:Prin&Technique I","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"350
Plants and Human Wellbeing","001","","49","3.261","30.6","20.4","16.3","14.3","6.1","2.0",".","10.2",".",".",".",".",".",".",".","."
"370
World Vegetable Crops","001","","33","3.109","24.2","18.2","24.2","15.2","15.2",".",".","3.0",".",".",".",".",".",".",".","."
"375
Special Topics","001","","13","3.077","23.1","23.1","30.8","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"376
Tropical Horticultural Systems","001","","24","3.813","70.8","20.8","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"524
Urban Soil and Environment","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"571","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"571","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","","12","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"626
Mineral Nutrition of Plants","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","4","***","","","","","","","","","","","","","","","",""
"811
Biometric Proc-Plnt Breedng","001","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Special Topics","005","","22","4.000","95.5",".",".",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"957
Seminar-Plant Breeding","001","","11","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","","","Page 31 of 420"
