"INTERNATIONAL STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","",""
"101
Intro to International Studies","001","","173","3.327","32.9","30.1","19.7","8.1","5.8","1.2","1.2","0.6",".",".",".",".",".","0.6",".","."
"212
WIScholars:Wi Intntl Schlr Smr","001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"310","003","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","007","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","009","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","011","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"310","015","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","019","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"310","028","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"310","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"310","034","","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"310","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Internl Learning Community Smr","Course Total","","110","",".",".",".",".",".",".",".",".",".","99.1","0.9",".",".",".",".","."
"320
Contemporary Issues-Intl St","001","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"327
Indian Politics in Comp. Persp","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"335
Globalization and Education","001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"374
Growth&Develpmt Global Econ","001","","26","3.288","15.4","42.3","30.8","7.7","3.8",".",".",".",".",".",".",".",".",".",".","."
"401
Topics in Global Security","001","","25","3.540","32.0","44.0","24.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"403
Culture in Age of Globalizatn","001","","23","3.524","47.8","30.4",".","4.3","4.3","4.3",".",".",".",".",".",".","8.7",".",".","."
"439
Comparative Study of Genocide","001","","23","3.348","47.8","30.4",".","4.3","13.0",".","4.3",".",".",".",".",".",".",".",".","."
"601
Topics in Global Security","001","","23","3.696","47.8","47.8",".","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"603
Topics:Culture-Age of Globlztn","001","","12","3.864","66.7","25.0",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"681","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
