"AFRO-AMERICAN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","",""
"Intro-Contemp Afro-Am Soc","151","001","19","2.972",".","36.8","21.1","31.6","5.3",".",".",".",".",".",".",".","5.3",".",".","."
"Hip-Hop and Cont Am Society","154","001","182","3.843","74.2","18.1","4.4","0.5","0.5",".",".","2.2",".",".",".",".",".",".",".","."
"Black Music&Am Cultrl Hist","156","001","259","3.719","53.7","35.9","7.3",".","1.2",".",".","1.9",".",".",".",".",".",".",".","."
"Intro to Black Women's Studies","221","001","8","2.857",".","25.0","25.0","25.0","12.5",".",".","12.5",".",".",".",".",".",".",".","."
"Masterpieces of Afro Amer Lit","227","001","94","3.694","59.6","18.1","17.0",".",".","1.1",".",".",".",".",".",".","1.1","1.1","2.1","."
"Intro to Afro-Am History","231","001","94","3.941","90.4","5.3","3.2",".",".",".",".",".",".",".",".",".",".",".","1.1","."
"Intro-Africn Art&Architectr","241","001","26","3.320","23.1","38.5","19.2","7.7","7.7",".",".","3.8",".",".",".",".",".",".",".","."
"Intro to Afro-American Art","242","001","33","3.250","21.2","30.3","30.3","6.1","9.1",".",".",".",".",".",".",".",".",".","3.0","."
"","271","002","22","3.773","86.4","9.1",".",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"","271","003","30","3.589","40.0","36.7","10.0","6.7",".",".",".","3.3",".",".",".",".",".","3.3",".","."
"Topics in African Amer Culture","","Course Total","52","3.670","59.6","25.0","5.8","3.8",".",".","1.9","1.9",".",".",".",".",".","1.9",".","."
"Race&Am Pol:New Deal-New Right","272","001","42","3.857","47.6","19.0",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","14","3.286","35.7","21.4","21.4","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"Blacks, Film, and Society","303","001","38","3.443","31.6","39.5","13.2",".","5.3","2.6",".",".",".",".",".",".","5.3","2.6",".","."
"Black Women in America","324","001","19","3.237","26.3","31.6","21.1","5.3","15.8",".",".",".",".",".",".",".",".",".",".","."
"Topics in Afro-Am Society","673","001","18","3.471","22.2","44.4","27.8",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","699","008","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","060","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study-Afro-Am Stdy","","Course Total","7","3.667","42.9","14.3",".","14.3",".",".",".",".",".",".",".",".","28.6",".",".","."
"","790","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","022","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
