"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"General Microbiology","101
001","346","3.113","28.3","9.8","33.8","14.5","11.6","1.2","0.3",".",".",".",".",".",".","0.6",".","."
"","102
001","38","3.329","26.3","23.7","42.1","5.3","2.6",".",".",".",".",".",".",".",".",".",".","."
"","002
102","36","3.143","25.0","11.1","47.2","5.6","2.8","5.6",".","2.8",".",".",".",".",".",".",".","."
"","003
102","36","3.347","30.6","16.7","47.2","2.8","2.8",".",".",".",".",".",".",".",".",".",".","."
"","004
102","36","3.333","30.6","19.4","38.9","8.3","2.8",".",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","146","3.290","28.1","17.8","43.8","5.5","2.7","1.4",".","0.7",".",".",".",".",".",".",".","."
"","299
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
061","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
075","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
091","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
096","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
098","6","3.900","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","18","3.947","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms","001
303","214","3.120","25.7","16.4","38.3","5.6","9.3","2.8","1.4",".",".",".",".",".","0.5",".",".","."
"","304
001","37","3.236","24.3","24.3","40.5",".","5.4",".","2.7",".",".",".",".",".","2.7",".",".","."
"","304
002","40","3.350","27.5","32.5","25.0","12.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"","304
003","40","3.321","32.5","17.5","35.0","5.0","7.5",".",".",".",".",".",".",".","2.5",".",".","."
"","304
004","40","3.463","37.5","27.5","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms Lab","Course Total","157","3.345","30.6","25.5","31.2","7.0","3.8",".","0.6",".",".",".",".",".","1.3",".",".","."
"","305
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
003","16","3.750","81.3",".","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","305
004","16","3.844","81.3","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Critical Analyses-Microbiology","Course Total","61","3.869","86.9","4.9","4.9","1.6","1.6",".",".",".",".",".",".",".",".",".",".","."
"","003
324","6","2.250",".",".","33.3","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".","."
"","004
324","7","3.357","57.1",".","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Food Microbiology Laboratory","Course Total","13","2.846","30.8",".","23.1","15.4","23.1","7.7",".",".",".",".",".",".",".",".",".","."
"Food Microbiology","325
001","42","3.024","26.2","9.5","38.1","4.8","11.9","7.1",".","2.4",".",".",".",".",".",".",".","."
"Divrsty, Ecol&Evolutn-Microrg","450
001","35","3.343","42.9","11.4","34.3",".","8.6","2.9",".",".",".",".",".",".",".",".",".","."
"Micro Genetics & Mol Machines","470
001","46","3.111","28.3","15.2","26.1","15.2","8.7","4.3",".","2.2",".",".",".",".",".",".",".","."
"Physiol of Microorganisms","526
001","60","3.650","65.0","21.7","1.7","5.0","5.0","1.7",".",".",".",".",".",".",".",".",".","."
"Adv Lab Techniques - Microbio","527
001","95","3.526","48.4","25.3","21.1","2.1","1.1",".","2.1",".",".",".",".",".",".",".",".","."
"Immunology","528
001","48","2.875","25.0","12.5","22.9","8.3","22.9","8.3",".",".",".",".",".",".",".",".",".","."
"Prokaryotic Molecular Biol","612
001","14","3.536","42.9","21.4","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plant-Bacterial Interactns","622
001","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gen Virology-Multiplication","640
001","29","3.339","27.6","41.4","13.8","3.4","6.9","3.4",".","3.4",".",".",".",".",".",".",".","."
"","681
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
096","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
