"SPANISH (SPANISH AND PORTU Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","","",""
"Advanced Conversation","325
003","","20","3.842","65.0","30.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","326
002","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","326
003","","20","3.750","65.0","25.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Spanish American Lit","Course Total","","30","3.767","63.3","30.0","3.3","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Spanish Linguistics","327
001","","25","3.740","76.0","4.0","16.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Spanish for Business","329
001","","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish Applied Linguistics","331
001","","25","3.840","76.0","16.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
001","","26","3.692","50.0","38.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
002","","22","3.795","63.6","31.8","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish Civilization","Course Total","","48","3.740","56.3","35.4","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
363","","24","3.854","75.0","20.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
363","","24","3.854","79.2","12.5","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish Amer Civilization","Course Total","","48","3.854","77.1","16.7","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literatura Hispanoamericana","460
001","","20","3.850","80.0","15.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish Amer Short Story","461
001","","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"US Latino Literature","467
001","","22","3.409","45.5","27.3","18.2",".","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"","468
001","","24","3.438","62.5","16.7","8.3","4.2",".",".","8.3",".",".",".",".",".",".",".",".","."
"","468
002","","16","3.594","56.3","12.5","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Hispanic Culture","Course Total","","40","3.500","60.0","15.0","15.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"Hispanic Screen Studies","472
001","","21","3.024","23.8","4.8","38.1","19.0","14.3",".",".",".",".",".",".",".",".",".",".","."
"Study Abroad-Hispanic Cultures","476
00A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Structure of Spanish Lang","548
001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Historia-Teoria Literaria","627
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Hispanic Linguistics","630
001","","14","3.792","50.0","35.7",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","699
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"Textual Criticism","701
001","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Smr-Spanish American Lit","802
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Medieval Literature","842
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Modern Spanish Lit","861
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","899
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","899
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","899
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","899
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","899
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","899
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","","Page 323 of 420",""
