"ITALIAN (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"","101
001","14","3.393","50.0","21.4","21.4",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","101
003","17","3.500","41.2","29.4","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","101
006","18","3.500","38.9","27.8","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","101
008","18","3.639","55.6","27.8","5.6","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","101
009","17","3.147","29.4","17.6","23.5","23.5",".","5.9",".",".",".",".",".",".",".",".",".","."
"","101
011","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
013","21","3.643","57.1","23.8","9.5","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","112","3.496","45.5","26.8","16.1","9.8",".","0.9","0.9",".",".",".",".",".",".",".",".","."
"","102
003","8","3.500","37.5","37.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","12","3.500","58.3","16.7","16.7",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"","102
006","13","3.462","38.5","30.8","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","33","3.485","45.5","27.3","18.2","3.0","3.0","3.0",".",".",".",".",".",".",".",".",".","."
"Ital-Speakrs of Romanc Lang","201
003","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
002","11","3.500","36.4","27.3","18.2","9.1",".",".",".","9.1",".",".",".",".",".",".",".","."
"","203
003","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
005","13","3.577","61.5","7.7","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","203
006","11","3.227","36.4","9.1","36.4",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","42","3.524","52.4","14.3","19.0","7.1","4.8",".",".","2.4",".",".",".",".",".",".",".","."
"Fourth Semester Italian","204
003","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Italian Culture","230
001","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Italian for Rdg Knowledge","301
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Italian Language","311
001","22","3.762","68.2","9.1","18.2",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Intro to Italian Literature","321
001","14","3.607","57.1","21.4","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Lineamenti Di Lett Italiana","631
001","9","3.875","66.7","22.2",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Il Seicento E L Arcadia","741
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Studies in Italian Lit","951
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research","Course Total","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
