"Summary by Level","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"FAM MED","","","","","","","","","","","","","","","","","","",""
"Senior","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduates","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 3","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 4","","33","3.810","66.7","21.2","9.1",".",".",".",".",".",".",".",".",".","3.0",".",".","."
"Professionals","","38","3.786","63.2","21.1","10.5",".",".",".",".","2.6",".",".",".",".","2.6",".",".","."
