"INTEGRATED LIBERAL STUDIES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","",""
"","138
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
002","12","3.667","91.7",".",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","138
003","14","3.679","78.6",".","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","004
138","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
005","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
006","14","3.821","78.6","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","138
007","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
008","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
009","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
010","12","3.625","83.3","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","138
011","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","013
138","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
015","14","3.679","78.6","7.1","7.1",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"","138
016","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
017","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
019","12","3.833","83.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","138
020","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
021","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"CRC 1st Yr Smr: Lib Arts Educ","Course Total","218","3.878","89.9","4.6","1.8","1.4","0.5","0.5","0.9",".",".",".",".",".",".","0.5",".","."
"","157
001","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
003","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
004","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
005","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
006","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
007","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
009","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
010","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
011","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
012","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
013","8","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"","157
014","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
015","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
016","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Bradley Roundtable Seminar","Course Total","177","",".",".",".",".",".",".",".",".",".","95.5",".",".",".",".","4.5","."
"Critical Thinkng & Expressn","200
001","61","3.393","18.0","60.7","9.8","8.2","1.6","1.6",".",".",".",".",".",".",".",".",".","."
"W Culture:Sci,Tech,Philos I","201
001","147","3.514","30.6","46.3","13.6","6.1","0.7",".",".",".",".",".",".",".",".","0.7",".","2.0"
"West Culture:Lit&The Arts I","203
001","151","3.510","44.4","24.5","22.5","4.0","4.0",".",".","0.7",".",".",".",".",".",".",".","."
"W Cult:Pol,Econ&Soc Thght I","205
001","133","3.335","24.8","35.3","28.6","7.5","3.0",".","0.8",".",".",".",".",".",".",".",".","."
"Genres-Westrn Relig Writing","234
001","9","3.000","33.3",".","55.6",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Literature and Society","253
001","25","3.580","56.0","16.0","20.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Literature and Science","254
001","17","3.471","47.1","29.4","11.8","5.9",".","5.9",".",".",".",".",".",".",".",".",".","."
"Peer Mentor 1st-Yr Lib Ed Smr","338
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Peer Mentor Seminar","357
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
