"TERM : 1182","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2017-2018","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"VET","","","","","","","","","","","","","","","","","","","","","","",""
"SURGICAL SCIENCES","","Section
#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"938","SURG SCI","","","","","","","","","","","","","","","","","","","","","",""
"938","SURG SCI","767
Dept. Total","3.660","42.2","5.5","5.1","0.7","0.9","0.4","",".","43.8","",".",".","",".","",".","0.3",".","1.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"938","SURG SCI","","","","","","","","","","","","","","","","","","","","","",""
"","Junior","5","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
