"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"","111
001","43","3.849","86.0","4.7","2.3","7.0",".",".",".",".",".",".",".",".",".",".",".","."
"","111
002","44","3.727","75.0","9.1","9.1",".","6.8",".",".",".",".",".",".",".",".",".",".","."
"","111
003","44","3.943","93.2","2.3","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Finc'l Life Skills Undergrads","Course Total","131","3.840","84.7","5.3","5.3","2.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"Consuming Happiness","001
173","36","3.611","55.6","27.8","8.3","5.6",".","2.8",".",".",".",".",".",".",".",".",".","."
"","201
001","44","3.341","31.8","27.3","22.7","13.6","4.5",".",".",".",".",".",".",".",".",".",".","."
"","201
002","49","3.265","32.7","20.4","22.4","16.3","8.2",".",".",".",".",".",".",".",".",".",".","."
"Consumer Research & Analysis","Course Total","93","3.301","32.3","23.7","22.6","15.1","6.5",".",".",".",".",".",".",".",".",".",".","."
"Retail Leadership Symposium","250
001","122","3.836","84.4","4.9","9.0",".",".","1.6",".",".",".",".",".",".",".",".",".","."
"Finc'l Svcs Leadership Sympos","251
001","97","3.928","93.8","2.1","1.0","2.1","1.0",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Retailing","257
001","134","3.735","77.6","11.2","3.7","4.5","0.7",".","2.2",".",".",".",".",".",".",".",".","."
"Finances & Families","273
001","57","3.518","36.8","38.6","17.5","5.3","1.8",".",".",".",".",".",".",".",".",".",".","."
"","001
275","81","3.190","14.8","39.5","17.3","22.2","2.5","1.2",".",".",".",".",".",".","2.5",".",".","."
"","275
002","103","3.345","30.1","39.8","9.7","11.7","7.8","1.0",".",".",".",".",".",".",".",".",".","."
"Consumer Finance","Course Total","184","3.277","23.4","39.7","13.0","16.3","5.4","1.1",".",".",".",".",".",".","1.1",".",".","."
"Advanced Consumer Analytics","301
001","34","3.613","29.4","55.9","2.9","2.9",".",".",".","8.8",".",".",".",".",".",".",".","."
"","321
001","41","3.915","85.4","12.2","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
002","41","3.950","90.2","4.9","2.4",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"","321
003","40","3.838","82.5","7.5","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","321
005","37","3.959","94.6","2.7","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Finc'l Life Skills After Grad","Course Total","159","3.915","88.1","6.9","3.1","1.3",".",".",".","0.6",".",".",".",".",".",".",".","."
"Financial Assets & Capability","340
001","45","3.656","60.0","26.7","6.7","2.2","2.2","2.2",".",".",".",".",".",".",".",".",".","."
"Financial Coaching","355
001","25","3.680","52.0","36.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Socially Just Consumption","360
001","57","3.772","75.4","14.0","8.8",".",".",".","1.8",".",".",".",".",".",".",".",".","."
"Cons Strategy & Evl","555
001","75","3.547","41.3","36.0","16.0","4.0","2.7",".",".",".",".",".",".",".",".",".",".","."
"The Global Consumer","562
001","80","3.375","22.5","43.8","23.8","8.8",".","1.3",".",".",".",".",".",".",".",".",".","."
"Retail Financial Analysis","564
001","56","3.339","33.9","30.4","17.9","8.9","7.1","1.8",".",".",".",".",".",".",".",".",".","."
"Consumer Policy","579
001","41","3.025","9.8","31.7","26.8","22.0","2.4","4.9",".",".",".",".",".",".","2.4",".",".","."
"Consumer Science Internship","601
001","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Retailing Internship","603
015","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","627
001","44","3.114","6.8","40.9","27.3","18.2","6.8",".",".",".",".",".",".",".",".",".",".","."
"","627
002","41","3.024","9.8","31.7","22.0","26.8","9.8",".",".",".",".",".",".",".",".",".",".","."
"Advanced Consumer Finance","Course Total","85","3.071","8.2","36.5","24.7","22.4","8.2",".",".",".",".",".",".",".",".",".",".","."
"Estate Plng for Fincl Planners","635
001","41","3.305","14.6","46.3","26.8","9.8","2.4",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","657
001","73","3.342","46.6","24.7","11.0","8.2","2.7","2.7","4.1",".",".",".",".",".",".",".",".","."
"","699
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
074","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","3","***","","","","","","","","","","","","","","","",""
"Advanced Consumer Behavior","888
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Spec Topics-Consumer Sci","901
001","10","3.889","70.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"","990
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
075","1","***","","","","","","","","","",".",".",".",".",".",".","."
