"LANDSCAPE ARCHITECTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","","",""
"201
Intro Land Arc Studio","001","","14","3.731","64.3","14.3","7.1","7.1",".",".",".",".",".",".",".",".","7.1",".",".","."
"250","002","","20","3.694","60.0","15.0","10.0",".","5.0",".",".",".",".",".",".",".","10.0",".",".","."
"250","005","","15","2.933","26.7","20.0","26.7","6.7","6.7","6.7","6.7",".",".",".",".",".",".",".",".","."
"250","006","","17","3.250","29.4","11.8","29.4","5.9",".","5.9",".","5.9",".",".",".",".","11.8",".",".","."
"250","008","","17","3.559","47.1","29.4","17.6",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"250","009","","25","3.717","56.0","28.0","4.0",".","4.0",".",".",".",".",".",".",".","4.0","4.0",".","."
"250","010","","22","3.786","63.6","27.3",".","4.5",".",".",".",".",".",".",".",".","4.5",".",".","."
"Survey of Land Arch Design","Course Total","","116","3.532","49.1","22.4","12.9","2.6","3.4","1.7","0.9","0.9",".",".",".",".","5.2","0.9",".","."
"261
Prin Land Arc Dsgn&Graphics","002","","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"263
Landscape Plants I","001","","6","1.667",".","16.7",".","16.7","16.7","33.3","16.7",".",".",".",".",".",".",".",".","."
"264
Dimensions-Material Culture","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299
Independent Studies","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"354
Landscape Arch Tech II","001","","11","3.136","45.5",".","9.1","27.3","18.2",".",".",".",".",".",".",".",".",".",".","."
"365
Planting Design I","001","","11","3.333","27.3",".","18.2",".","9.1",".",".",".",".",".",".",".","45.5",".",".","."
"371
Intro Envir Remote Sensing","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"375","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"375","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"375","003","","12","3.500","41.7","33.3","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","15","3.647","53.3","26.7","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"462
Regional Design","001","","14","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"550
Professionl Pract-Land Arch","001","","13","3.231","23.1","23.1","38.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"610
Seminar-Landscape Arch","001","","13","3.391","23.1","30.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"666
Restoration Ecology","001","","17","3.853","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems-Land Arch","Course Total","","6","3.571","16.7","33.3",".",".",".",".",".",".",".",".",".",".","33.3",".","16.7","."
"710
Theories-Landscape Change","002","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"720
Crit Inquiry-Landscape Dsgn","002","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","8","",".",".",".",".",".",".",".","87.5",".",".",".","12.5",".",".",".","."
"999","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","Course Total","","2","***","","","","","","","","","","","","","","","",""
