"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"COMP BIO","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","2","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","7","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","17","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","26","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","23","",".",".",".",".",".",".","",".","87.0","",".",".","",".","13.0","","",".",".",".","."
"Prof Yr 1","384","3.245","29.7","22.1","30.5","9.4","7.8","0.5","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","1","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 3","1","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 4","37","",".",".",".",".",".",".","",".","70.3","",".",".","",".","",".","",".",".","29.7","."
"Professionals","423","3.245","27.0","20.1","27.7","8.5","7.1","0.5","",".","6.6","",".",".","",".","",".","",".",".","2.6","."
