"LANGUAGES & CULTURES OF A Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"521
LCA","","","","","","","","","","","","","","","","","","","","",""
"Islam Wrld:MidEast,500-1500","205","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Genres-Asian Religious Writing","235","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to the Middle East","266","002","","35","3.809","68.6","20.0","8.6",".",".",".",".",".",".",".",".",".",".","2.9",".","."
"Topics in LCA","300","001","","20","3.675","55.0","25.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Indian Literatures","311","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Islam: Religion and Culture","370","001","","9","3.722","77.8","11.1",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Survey of Tibetan Buddhism","421","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Meditation-Buddhism & Hinduism","624","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","799","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","046","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","058","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","11","",".",".",".",".",".",".",".","63.6",".",".",".","36.4",".",".",".","."
