"ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","",""
"","350
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350
002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Peer Ldrshp&Mntrshp-Trans Stdt","Course Total","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","502
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","502
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","502
007","","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wkshp-Ed Leadership & Pol Anal","Course Total","","23","3.947","78.3",".","4.3",".",".",".",".",".",".",".",".",".",".",".","17.4","."
"","700
001","","11","4.000","36.4",".",".",".",".",".",".",".",".",".",".",".","63.6",".",".","."
"","700
002","","18","4.000","94.4",".",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Field Experience-Ed Ldrship","Course Total","","29","4.000","72.4",".",".",".",".",".",".",".",".",".",".",".","27.6",".",".","."
"","701
001","","8","3.714","50.0","25.0","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","701
002","","20","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"Intro-Higher & Post-Sec Ed","Course Total","","28","3.920","78.6","7.1","3.6",".",".",".",".",".",".",".",".",".","3.6",".","7.1","."
"Athletics Administration","001
710","","9","3.643","33.3","33.3","11.1",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"Govern&Admin-Coll&Universty","715
001","","18","3.625","27.8","55.6","5.6",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Intro to Qualitative Research","719
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch Meth & Proc-Ed Admin","725
002","","23","3.935","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ldrship for Equity & Diversity","735
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Admin Stdt Serv-Higher Educ","736
001","","15","3.733","60.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Educ Policy Analysis","765
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Teacher Leadership","780
001","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Qual Rsch Mthds-Educ: Field I","788
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Doctoral Inquiry","810
001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Quant Inquiry in Educ","822
001","","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Rsch Methods-Ed Admin","825
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","840
001","","20","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
002","","7","3.917","71.4","14.3",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Public School Law","Course Total","","27","3.827","63.0","33.3",".",".",".",".",".","3.7",".",".",".",".",".",".",".","."
"Legal Foundations of Spec Ed","842
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"School-Level Leadership","845
002","","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The School Superintendency","846
001","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Instr Leadership&Tchr Capacity","847
001","","10","3.889","80.0",".","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Pro Devel&Orgniztn Learning","848
001","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Race Class & Ed Inequality","863
002","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Politics of Education","870
001","","15","3.786","60.0","26.7","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Acadmc Prgrms-Col&Universty","880
001","","22","3.905","77.3","18.2",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Internationalization Higher Ed","886
001","","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Diversity and Inequality","887
001","","22","3.905","77.3","18.2",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Appl Rsch in Ed Admin","890
203","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
003","","23","4.000","78.3",".",".",".",".",".",".",".",".",".",".",".","21.7",".",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","","","Page 92 of 420"
