"OCCUPATIONAL THER (DEPT-KI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"695
OCC THER","","","","","","","","","","","","","","","","","","",""
"Orientation to Occ Ther","100
001","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Skills I: Prof Prac in OT","610
001","26","3.865","73.1","26.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Skills III: Org & Mgmt-OT","612
001","24","3.854","70.8","29.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Occupational-based Thry & Prac","620
001","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Yng Adult Occs&Ther Interventn","623
001","24","3.625","29.2","66.7","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Level-I Fldwk: Adoles&Yng Adlt","626
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Med Lectures for Occ Therapy","629
001","26","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Neuroanatomy","640
001","65","3.985","96.9","3.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Level II Fieldwork A","662
001","13","",".",".",".",".",".",".",".",".",".","92.3","7.7",".",".",".",".","."
"Level II Fieldwork B","664
001","26","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Sci Inq-OT I: Evidence-Based","671
001","26","3.788","73.1","11.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sci Inq-OT III: Data Coll&Anal","673
001","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appld Leadshp & Mangmnt in OT","811
001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"OTD Capstone","881
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Inter-Prof Devel Leadership","890
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"OCC THER
695","Dept. Total","343","3.892","73.2","12.5","1.5",".",".",".",".",".",".","11.7","0.3","0.9",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"695
OCC THER","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","","277","3.866","67.1","15.2","1.8",".",".",".",".",".",".","14.4","0.4","1.1",".",".",".","."
"Prof Yr 1","","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","343","3.892","73.2","12.5","1.5",".",".",".",".",".",".","11.7","0.3","0.9",".",".",".","."
