"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
001","76","3.454","38.2","32.9","22.4","2.6","1.3","1.3","1.3",".",".",".",".",".",".",".",".","."
"","002
101","69","3.152","20.3","27.5","36.2","8.7","2.9","1.4","2.9",".",".",".",".",".",".",".",".","."
"","004
101","72","3.146","12.5","37.5","33.3","8.3","5.6","1.4","1.4",".",".",".",".",".",".",".",".","."
"","101
006","75","2.933","5.3","33.3","30.7","17.3","9.3","1.3","2.7",".",".",".",".",".",".",".",".","."
"","101
007","75","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Philosophy","Course Total","367","3.328","33.0","28.9","24.3","7.4","3.8","1.1","1.6",".",".",".",".",".",".",".",".","."
"","001
104","19","3.816","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
002","20","3.500","35.0","35.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","104
003","20","3.400","50.0","15.0","20.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"Spec Topics:Philos-Freshmen","Course Total","59","3.568","50.8","25.4","16.9","3.4","1.7","1.7",".",".",".",".",".",".",".",".",".","."
"","210
001","57","3.070","28.1","19.3","21.1","22.8",".","7.0","1.8",".",".",".",".",".",".",".",".","."
"","210
003","27","3.722","66.7","18.5","7.4","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"Reason in Communication","Course Total","84","3.280","40.5","19.0","16.7","17.9",".","4.8","1.2",".",".",".",".",".",".",".",".","."
"","211
001","74","3.372","24.3","39.2","27.0","5.4","4.1",".",".",".",".",".",".",".",".",".",".","."
"","211
002","78","3.545","57.7","17.9","9.0","6.4","9.0",".",".",".",".",".",".",".",".",".",".","."
"Elementary Logic","Course Total","152","3.461","41.4","28.3","17.8","5.9","6.6",".",".",".",".",".",".",".",".",".",".","."
"Philosophy and the Sciences","001
220","55","2.991","20.0","30.9","10.9","18.2","14.5","3.6","1.8",".",".",".",".",".",".",".",".","."
"","241
001","79","3.628","54.4","25.3","12.7","2.5","3.8",".",".",".",".",".",".",".","1.3",".",".","."
"","241
002","72","3.371","25.0","41.7","23.6","2.8","1.4","1.4","1.4","1.4",".",".",".",".",".","1.4",".","."
"Introductory Ethics","Course Total","151","3.507","40.4","33.1","17.9","2.6","2.6","0.7","0.7","0.7",".",".",".",".","0.7","0.7",".","."
"","304
001","20","3.425","55.0","20.0","10.0","5.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","304
002","25","3.667","60.0","24.0","8.0",".",".","4.0",".",".",".",".",".",".","4.0",".",".","."
"","003
304","22","3.225","22.7","22.7","27.3","9.1","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"Topic in Philosophy-Humanities","Course Total","67","3.453","46.3","22.4","14.9","4.5","4.5","1.5","1.5","3.0",".",".",".",".","1.5",".",".","."
"","341
001","160","3.544","42.5","31.3","18.1","5.0","1.9",".",".",".",".",".",".",".",".",".","1.3","."
"","002
341","77","3.849","75.3","19.5","1.3","2.6",".",".",".","1.3",".",".",".",".",".",".",".","."
"","341
091","20","3.450","20.0","50.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
092","21","3.762","71.4","14.3","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","093
341","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","095
341","19","3.737","52.6","42.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","313","3.653","53.0","28.8","12.8","3.5","1.0",".",".","0.3",".",".",".",".",".",".","0.6","."
"Hist of Ancient Philosophy","430
001","50","3.378","32.0","26.0","26.0","12.0","2.0",".",".",".",".",".",".",".",".","2.0",".","."
"History-Modern Philosophy","432
001","23","3.065","21.7","21.7","26.1","17.4","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"Environmental Ethics","441
001","32","3.117","9.4","25.0","37.5","21.9",".",".",".",".",".",".",".",".",".",".","6.3","."
"Classical Philosophers","454
001","12","3.938","58.3","8.3",".",".",".",".",".","16.7",".",".",".",".","8.3",".",".","8.3"
"Junior Honors Seminar","482
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory of Knowledge","503
001","24","3.188","41.7","25.0","12.5","4.2","4.2","8.3","4.2",".",".",".",".",".",".",".",".","."
"Justice and Health Care","001
505","11","3.500","27.3","45.5","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Symbolic Logic","511
001","8","3.438","12.5","62.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Freedom Fate and Choice","530
001","25","3.600","44.0","36.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Ethical Theories","541
001","21","3.262","38.1","4.8","33.3","19.0","4.8",".",".",".",".",".",".",".",".",".",".","."
"Philosophy of Mind","551
001","23","2.696","21.7","26.1","13.0","17.4","4.3",".","17.4",".",".",".",".",".",".",".",".","."
"Metaphysics","560
001","28","3.560","35.7","28.6","25.0",".",".",".",".","7.1",".",".",".",".",".","3.6",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","Page 290 of 420",""
