"GEOSCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOSCI","","","","","","","","","","","","","","","","","","",""
"990","006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","6","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
"990","032","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","41","",".",".",".",".",".",".",".","61.0",".",".",".","36.6","2.4",".",".","."
"991
Seminar: Geophysics","001","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"999
Adv Independent Reading","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"GEOSCI
420","Dept. Total","1278","3.092","29.3","16.4","23.2","11.8","9.1","3.0","1.4","3.6",".",".",".","1.6","0.4","0.1",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOSCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","154","3.022","20.8","20.8","27.3","15.6","10.4","3.2","1.3",".",".",".",".",".","0.6",".",".","."
"Sophomore","","282","3.019","27.0","15.2","27.3","12.8","9.9","3.9","3.2",".",".",".",".",".","0.4","0.4",".","."
"Junior","","286","2.967","24.1","15.7","24.1","15.4","14.3","4.2","1.0","0.7",".",".",".",".","0.3",".",".","."
"Senior","","384","3.130","29.7","20.8","23.7","12.2","8.1","2.6","1.0",".",".",".",".","1.6","0.3",".",".","."
"Undergraduates","","1106","3.038","26.3","18.1","25.2","13.7","10.5","3.4","1.6","0.2",".",".",".","0.5","0.4","0.1",".","."
"Special","","23","3.576","26.1","8.7","17.4",".",".",".",".","47.8",".",".",".",".",".",".",".","."
"Graduate","","149","3.731","52.3","5.4","9.4",".",".",".",".","22.1",".",".",".","10.1","0.7",".",".","."
"","Dept. Total","1278","3.092","29.3","16.4","23.2","11.8","9.1","3.0","1.4","3.6",".",".",".","1.6","0.4","0.1",".","."
